quadras.codigo_ibge_municipio,quadras.codigo_cartografico,quadras.geometria,quadras.area
4104501,01.04.002.0.0070,"MULTIPOLYGON(((-53.8006004466535 -25.683069282282446,-53.80023038451686 -25.68185160784985,-53.79941450802378 -25.68205519699767,-53.79978456290192 -25.683272874113587,-53.8006004466535 -25.683069282282446)))",11900.0000
4104501,01.04.001.2.073B,"MULTIPOLYGON(((-53.79994497351364 -25.66422272910263,-53.79931276912138 -25.66403812741503,-53.799566059201915 -25.66487175787984,-53.79972859325806 -25.66483120920722,-53.799847691275176 -25.664496202490415,-53.79986909550141 -25.664436105309907,-53.79994497351364 -25.66422272910263)))",3175.7158
4104501,01.06.004.1.0073,"MULTIPOLYGON(((-53.81466710192318 -25.65427544089526,-53.81447518210902 -25.65432335961528,-53.814503401147086 -25.654416204519347,-53.81469532109121 -25.654368285751154,-53.815322898069326 -25.654211589702623,-53.81529467847632 -25.654118745004237,-53.81466710192318 -25.65427544089526)))",911.6450
4104501,01.04.001.1.0005,"MULTIPOLYGON(((-53.80565060535209 -25.657360972722145,-53.80559774680201 -25.65718702029735,-53.80554488842933 -25.657013067836797,-53.805492030234056 -25.656839115340674,-53.805439172216204 -25.656665162808885,-53.80538631437576 -25.656491210241427,-53.8053334567127 -25.656317257638225,-53.805280599227075 -25.65614330499945,-53.805040689511934 -25.656203188601822,-53.80480077951959 -25.656263071828846,-53.80456086925008 -25.6563229546806,-53.80431136227574 -25.65638523244813,-53.804364218531234 -25.656559185542214,-53.804417074964114 -25.656733138600735,-53.80446464590537 -25.656889696322818,-53.80446993157438 -25.656907091623506,-53.804522788362064 -25.657081044610624,-53.804533359740866 -25.65711583520378,-53.80457564532713 -25.65725499756217,-53.8046285024696 -25.657428950477964,-53.80468135978947 -25.657602903358107,-53.80493086898061 -25.657540624770107,-53.805170781381655 -25.657480741129532,-53.805410693505486 -25.65742085711348,-53.80553064946345 -25.657390914964775,-53.80565060535209 -25.657360972722145)))",14140.0000
4104501,01.04.002.3.0110,"MULTIPOLYGON(((-53.79495698164272 -25.687306556595374,-53.794925395376374 -25.68720239967643,-53.79489380917356 -25.68709824274474,-53.79482010828075 -25.6868552098545,-53.794680825741274 -25.686889959464597,-53.794575163062774 -25.686916321153298,-53.79446950026128 -25.686942682786402,-53.79436391040442 -25.68696902613443,-53.79425832042463 -25.686995369426974,-53.794118891788145 -25.687030154881217,-53.79419269180706 -25.687273519218493,-53.79422427747614 -25.687377676347094,-53.79425586320876 -25.68748183346288,-53.79428744900491 -25.687585990565925,-53.79431891359952 -25.687689747774705,-53.79435057048453 -25.68779413885498,-53.794382128024374 -25.687898554602647,-53.794573823113 -25.687850729231023,-53.79473127953013 -25.68781144573953,-53.79473320135117 -25.687810966267023,-53.79496983562582 -25.687751928483525,-53.79508344834338 -25.6877235831417,-53.79505174082302 -25.68761902727589,-53.79502015436604 -25.68751487039515,-53.79498856797261 -25.68741071350168,-53.79495698164272 -25.687306556595374)))",7292.2432
4104501,01.04.001.2.0101,"MULTIPOLYGON(((-53.793426249638536 -25.67089400418836,-53.79337340043448 -25.670720046628933,-53.79332055140772 -25.670546089033984,-53.79321180798491 -25.670573220673017,-53.79311735763667 -25.67059678609547,-53.79310296852693 -25.670600376181497,-53.79299422541037 -25.670627507561335,-53.79300454422022 -25.670661473250075,-53.793047073602516 -25.670801465414225,-53.793099922392074 -25.670975423126823,-53.793208666204976 -25.670948291540036,-53.793317505939534 -25.670921135929465,-53.793426249638536 -25.67089400418836)))",1359.9995
4104501,01.04.001.2.0109,"MULTIPOLYGON(((-53.79103785266668 -25.670060082485524,-53.790981308172825 -25.669873946607986,-53.79084213947337 -25.669908667104245,-53.7907029706806 -25.669943387474106,-53.790759514796065 -25.670129523491294,-53.79079069341386 -25.67023215922172,-53.79082187209339 -25.67033479493975,-53.79085305083465 -25.67043743064539,-53.790884229637754 -25.67054006633855,-53.790915408502485 -25.6706427020194,-53.79094658742896 -25.67074533768787,-53.79097776641717 -25.67084797334386,-53.79100947392612 -25.67095234857462,-53.79128781346936 -25.670882906951075,-53.791256105748225 -25.67077853179867,-53.79122492655137 -25.67067589621966,-53.791193747416244 -25.670573260628245,-53.79116256834287 -25.670470625024535,-53.79113138933121 -25.670367989408348,-53.791100210381295 -25.670265353779765,-53.79106903149312 -25.670162718138883,-53.79103785266668 -25.670060082485524)))",3364.0000
4104501,01.04.001.2.0103,"MULTIPOLYGON(((-53.79374593133857 -25.671934771810434,-53.793693081068184 -25.671760814465756,-53.79364023097519 -25.67158685708554,-53.79353148672696 -25.671613989032473,-53.79342264644271 -25.67164114484915,-53.79331390208048 -25.671668276641668,-53.79336675175886 -25.671842234175053,-53.793419601614644 -25.67201619167291,-53.793528346253105 -25.6719890597783,-53.79363718681393 -25.67196190385946,-53.79374593133857 -25.671934771810434)))",1360.0000
4104501,01.04.001.1.0112,"MULTIPOLYGON(((-53.80093984681211 -25.65554173301582,-53.80090686788846 -25.655433185218175,-53.80087404758587 -25.655325159271204,-53.80084122735167 -25.655217133310405,-53.800808407185855 -25.655109107335957,-53.80077558708854 -25.655001081347674,-53.8007427670595 -25.65489305534565,-53.80070994709886 -25.65478502932996,-53.80054680825179 -25.65482574508531,-53.80057962808384 -25.65493377114865,-53.800612447984285 -25.65504179719815,-53.80064526795302 -25.655149823234012,-53.80067808799025 -25.655257849256127,-53.80071090809585 -25.6553658752644,-53.80074372826986 -25.655473901259022,-53.800776707064294 -25.65558244910447,-53.80093984681211 -25.65554173301582)))",1479.0000
4104501,01.03.001.0.086A,"MULTIPOLYGON(((-53.80508971136227 -25.668755631131283,-53.80511623846344 -25.668748882322525,-53.80482994250854 -25.668427459286516,-53.804971019051365 -25.668392247951314,-53.80496635247942 -25.66832620100263,-53.8049749623364 -25.668265884393957,-53.804976318548476 -25.668263156652056,-53.80495850569462 -25.668204542497005,-53.804750489916586 -25.668256461195558,-53.80471324535034 -25.668264978684462,-53.804546251545176 -25.668303168498742,-53.804469819403984 -25.668320647695037,-53.804545039105015 -25.668568164942794,-53.80479921382505 -25.66882813643871,-53.804836067789275 -25.668818938090507,-53.80508971136227 -25.668755631131283)))",2432.3047
4104501,01.02.004.0.0051,"MULTIPOLYGON(((-53.81133234296446 -25.67091304060186,-53.81127285905894 -25.670717348101125,-53.8112133753782 -25.6705216555552,-53.81120808795081 -25.670504260660035,-53.81117107600872 -25.670382496383876,-53.811160501184126 -25.67034770658748,-53.81111291456121 -25.670191152486094,-53.81107722468841 -25.670073736891034,-53.811041534896624 -25.6699563212797,-53.81084958863366 -25.670004237361933,-53.81075361543569 -25.67002819531292,-53.81065764219321 -25.670052153203823,-53.810273748779444 -25.670147984166555,-53.809889854655445 -25.670243814167772,-53.80996651959493 -25.670496041060996,-53.81000881765248 -25.67063520069401,-53.810061690384195 -25.67080915020327,-53.81012117241958 -25.67100484335845,-53.81018065467982 -25.67120053646835,-53.81037260317122 -25.671152621091565,-53.81056455148502 -25.67110470547433,-53.81075649962132 -25.671056789616728,-53.81094844757993 -25.671008873518772,-53.811140395360944 -25.670960957180444,-53.81133234296446 -25.67091304060186)))",13200.0000
4104501,01.03.002.4.0096,"MULTIPOLYGON(((-53.81176071552817 -25.677461491362163,-53.81172713730033 -25.677351034195798,-53.811693559144125 -25.677240577014945,-53.81165998105947 -25.677130119819417,-53.811626403046624 -25.67701966261003,-53.81159282510524 -25.6769092053857,-53.81135287902441 -25.676969102453057,-53.811230506416315 -25.67699964981278,-53.81110813373603 -25.677030197074796,-53.810985760983534 -25.677060744239096,-53.81086338818353 -25.677091291299522,-53.81062344125886 -25.677151187224858,-53.81065701841838 -25.677261644738696,-53.81069059564931 -25.677372102237605,-53.81072417295209 -25.677482559722645,-53.8107577503264 -25.67759301719302,-53.810791327772336 -25.677703474648894,-53.81103127566472 -25.677643578365267,-53.811153648958225 -25.6776130311221,-53.811276022204254 -25.67758248377506,-53.81139839537806 -25.677551936330396,-53.81152076847969 -25.67752138878793,-53.81176071552817 -25.677461491362163)))",6413.5000
4104501,01.03.001.2.0075,"MULTIPOLYGON(((-53.80577460126431 -25.667252324286164,-53.80595454940071 -25.667207409407464,-53.805901684614085 -25.667033457699727,-53.805848820004954 -25.666859505956236,-53.80566887232555 -25.66690442066589,-53.805628084163196 -25.66691460130407,-53.80548892449012 -25.66694933516423,-53.8053089764987 -25.666994249451403,-53.80512902835129 -25.667039163527253,-53.80523475591906 -25.66738706765497,-53.80541470452348 -25.66734215340992,-53.805594652971905 -25.667297238953704,-53.80574820885786 -25.66725891178403,-53.80577460126431 -25.667252324286164)))",3000.0000
4104501,01.04.001.1.0117,"MULTIPOLYGON(((-53.800675594556324 -25.65467195860635,-53.80064261618597 -25.654563410697534,-53.800609796434 -25.65445538463982,-53.800576976750435 -25.65434735856847,-53.80054415713524 -25.654239332483286,-53.80051133758844 -25.654131306384357,-53.800478518110125 -25.65402328027178,-53.80044569870008 -25.653915254145375,-53.800411346733874 -25.653802183305956,-53.800248209056704 -25.653842898628618,-53.80028256088832 -25.65395596951782,-53.80031538016978 -25.654063995691708,-53.80034819951951 -25.65417202185194,-53.800381018937735 -25.65428004799844,-53.80041383842433 -25.654388074131102,-53.80044665797932 -25.654496100250114,-53.8004794776027 -25.654604126355288,-53.800512455843844 -25.654712674311913,-53.800675594556324 -25.65467195860635)))",1700.0000
4104501,02.06.005.11.0013,"MULTIPOLYGON(((-53.8806186301771 -25.614192763265432,-53.880817699455065 -25.61406952163937,-53.88121359957941 -25.613824422687184,-53.88111317388906 -25.61352418301387,-53.881001716296936 -25.613190959440264,-53.88025203343055 -25.61365508148679,-53.879923359744424 -25.61385855822493,-53.879397155776864 -25.61418432002738,-53.879763750781436 -25.61472200411097,-53.880289955821276 -25.614396240889793,-53.8806186301771 -25.614192763265432)))",13010.3887
4104501,01.04.001.2.071B,"MULTIPOLYGON(((-53.80022871180802 -25.663369563144173,-53.80013158547065 -25.66334274573695,-53.800034459170064 -25.663315928263874,-53.79993733290706 -25.663289110722335,-53.7998402066816 -25.66326229311224,-53.79974308049372 -25.66323547543376,-53.79964595434342 -25.663208657686727,-53.79954787601391 -25.663181576951246,-53.79941170907654 -25.663143979309446,-53.799275542212904 -25.663106381533073,-53.79913937542312 -25.663068783622137,-53.79895293850114 -25.66301730504198,-53.799036009646144 -25.663274600077774,-53.79906726384742 -25.663283229899474,-53.79920343087225 -25.663320827858378,-53.79933959797093 -25.6633584256828,-53.79947576514345 -25.663396023372478,-53.79957384364215 -25.663423104142606,-53.79967096996012 -25.66344992192385,-53.799768096315645 -25.663476739636444,-53.79986522270876 -25.66350355728075,-53.799962349139435 -25.66353037485651,-53.80005947560779 -25.66355719236388,-53.80015660211289 -25.663584009804868,-53.80022871180802 -25.663369563144173)))",3126.8948
