quadras.codigo_ibge_municipio,quadras.codigo_cartografico,quadras.geometria,quadras.area
4104501,01.06.004.1.0014,"MULTIPOLYGON(((-53.81153136901568 -25.6573897676428,-53.811478502119506 -25.65721581806839,-53.811425635400816 -25.657041868458272,-53.81137276885961 -25.656867918812388,-53.81131990249589 -25.6566939691309,-53.81129346938057 -25.656606994276714,-53.81126703630973 -25.65652001941371,-53.811214170300964 -25.656346069660728,-53.81116130446968 -25.65617211987214,-53.811041351582915 -25.65620206644048,-53.810921398626725 -25.656232012914913,-53.810681492506575 -25.656291905582464,-53.810585529980806 -25.656315862544385,-53.81048956741068 -25.656339819446163,-53.8103696141357 -25.65636976548908,-53.8102496607914 -25.656399711438176,-53.810129707377676 -25.656429657293344,-53.81000975389472 -25.656459603054778,-53.81006261826471 -25.656633553384648,-53.810089050516254 -25.656720528536244,-53.810115482812165 -25.65680750367891,-53.81016834753697 -25.656981453937405,-53.81019477996598 -25.657068429053314,-53.81022121243936 -25.657155404160214,-53.81027407751921 -25.657329354347414,-53.81030051012569 -25.65741632942754,-53.81032694277654 -25.65750330449883,-53.810379808211344 -25.657677254614565,-53.81049976275987 -25.657647308458543,-53.81061971723908 -25.657617362208594,-53.81073967164906 -25.65758741586481,-53.81085962598961 -25.65755746942729,-53.811051552790296 -25.657509554931977,-53.81117150695069 -25.6574796082504,-53.811291461041655 -25.657449661475088,-53.81141141506329 -25.65741971460586,-53.81153136901568 -25.6573897676428)))",16800.0000
4104501,01.03.002.3.0054,"MULTIPOLYGON(((-53.80246383455921 -25.68108982901844,-53.80234488174822 -25.680698435628713,-53.80229201412075 -25.680524482953125,-53.8022325382522 -25.68032878615041,-53.802173062608276 -25.680133089302565,-53.80198109568479 -25.680180995298507,-53.801789128583714 -25.680228901053848,-53.80159716130499 -25.68027680656876,-53.8014051938488 -25.68032471184314,-53.80121322621506 -25.68037261687702,-53.80129252529386 -25.680633546673985,-53.801332174983195 -25.68076401154238,-53.80138504139093 -25.680937964669006,-53.80141477882328 -25.681035813287117,-53.801444516311804 -25.681133661893856,-53.80150399145751 -25.681329359073576,-53.80169596043298 -25.681281453543583,-53.80188792923088 -25.68123354777315,-53.8020798978513 -25.68118564176211,-53.80217588209482 -25.681161688666386,-53.80227186629405 -25.68113773551053,-53.80246383455921 -25.68108982901844)))",11000.0000
4104501,01.02.002.0.0033,"MULTIPOLYGON(((-53.80607404520966 -25.677380783283652,-53.80602117425228 -25.677206832222662,-53.80596830347249 -25.677032881125893,-53.80591543287029 -25.676858929993532,-53.80586256244568 -25.676684978825485,-53.80580969219866 -25.676511027621654,-53.80575682212921 -25.67633707638224,-53.80550727530531 -25.67639935948299,-53.80527692412458 -25.676456851215406,-53.80508496461198 -25.676504760727795,-53.804845014971505 -25.676564647280294,-53.804605065053586 -25.676624533456987,-53.80465793365985 -25.676798485237757,-53.804710802443694 -25.676972436982943,-53.804763671405105 -25.677146388692346,-53.80481654054409 -25.677320340366087,-53.80486940986064 -25.677494292004234,-53.8049222793548 -25.677668243606607,-53.805258211722865 -25.67758440190666,-53.805402182571264 -25.677548469524037,-53.80559414354708 -25.677500559470293,-53.80607404520966 -25.677380783283652)))",14400.0000
