"OSM_ID_MUNICIPIO";"COD_PAIS";"OSM_NOM_MUNICIPIO"
185674;"BR";"Alenquer"
185675;"BR";"Vitória do Xingu"
185676;"BR";"Placas"
185677;"BR";"Santo Antônio do Tauá"
185678;"BR";"Ponta de Pedras"
185679;"BR";"Nova Ipixuna"
190910;"CL";"Conchalí"
191190;"CL";"Macul"
191193;"CL";"Lo Espejo"
191200;"CL";"La Cisterna"
191201;"CL";"San Ramón"
191203;"CL";"El Bosque"
191216;"CL";"La Pintana"
191220;"CL";"La Granja"
224590;"CL";"La Florida"
231879;"CL";"San Esteban"
231949;"CL";"Santa María"
231952;"CL";"Salamanca"
231953;"CL";"Petorca"
231954;"CL";"Los Vilos"
238959;"CL";"Pirque"
239347;"CL";"Camiña"
239348;"CL";"Colchane"
239349;"CL";"Huara"
239424;"CL";"Pica"
239456;"CL";"Iquique"
239461;"CL";"Alto Hospicio"
242289;"BR";"Montauri"
242290;"BR";"Sertão"
242291;"BR";"Capela de Santana"
242292;"BR";"Arroio Grande"
242293;"BR";"São Vicente do Sul"
242294;"BR";"São Borja"
242295;"BR";"Carazinho"
242296;"BR";"São Luiz Gonzaga"
242297;"BR";"Esmeralda"
242298;"BR";"Salto do Jacuí"
242299;"BR";"Santa Vitória do Palmar"
242300;"BR";"Cerro Largo"
242301;"BR";"São Valentim"
242302;"BR";"Turuçu"
242303;"BR";"Giruá"
242304;"BR";"Dezesseis de Novembro"
242305;"BR";"Augusto Pestana"
242306;"BR";"Arroio do Tigre"
242307;"BR";"Lindolfo Collor"
242308;"BR";"Santiago"
242309;"BR";"Santa Bárbara do Sul"
242310;"BR";"Morrinhos do Sul"
242311;"BR";"Novo Barreiro"
242312;"BR";"Ipiranga do Sul"
242313;"BR";"Faxinal do Soturno"
242314;"BR";"Faxinalzinho"
242315;"BR";"Itati"
242316;"BR";"Muçum"
242317;"BR";"Nova Bassano"
242318;"BR";"São Martinho da Serra"
242319;"BR";"Passa Sete"
242320;"BR";"Porto Xavier"
242321;"BR";"Herval"
242322;"BR";"São Martinho"
242323;"BR";"Ametista do Sul"
242324;"BR";"Gravataí"
242325;"BR";"Barra do Ribeiro"
242326;"BR";"Alecrim"
242327;"BR";"Iraí"
242328;"BR";"Ivorá"
242329;"BR";"Jaguari"
242330;"BR";"Jacutinga"
242331;"BR";"Itapuca"
242332;"BR";"Liberato Salzano"
242333;"BR";"Sentinela do Sul"
242334;"BR";"Vista Alegre"
242335;"BR";"Caraá"
242336;"BR";"Arroio do Padre"
242337;"BR";"Carlos Barbosa"
242338;"BR";"Bom Jesus"
242339;"BR";"Cristal"
242340;"BR";"Quinze de Novembro"
242341;"BR";"Dona Francisca"
242342;"BR";"Candiota"
242343;"BR";"Pareci Novo"
242344;"BR";"Maquiné"
242345;"BR";"Mato Queimado"
242346;"BR";"Alegrete"
242347;"BR";"Xangri-lá"
242348;"BR";"São Jerônimo"
242349;"BR";"Carlos Gomes"
242350;"BR";"Santa Cecília do Sul"
242351;"BR";"Pouso Novo"
242352;"BR";"Ijuí"
242353;"BR";"Casca"
242354;"BR";"São Pedro do Butiá"
242355;"BR";"Benjamin Constant do Sul"
242356;"BR";"Encantado"
242357;"BR";"Três Arroios"
242358;"BR";"Gaurama"
242359;"BR";"Sananduva"
242360;"BR";"Venâncio Aires"
242361;"BR";"Tapes"
242363;"BR";"Dom Feliciano"
242364;"BR";"Redentora"
242365;"BR";"Lajeado do Bugre"
242366;"BR";"São José do Norte"
242367;"BR";"Cruz Alta"
242368;"BR";"Guaíba"
242369;"BR";"Barracão"
242370;"BR";"Horizontina"
242371;"BR";"Inhacorá"
242372;"BR";"Pantano Grande"
242373;"BR";"Dois Lajeados"
242374;"BR";"Vale do Sol"
242375;"BR";"Alegria"
242376;"BR";"Capivari do Sul"
242377;"BR";"Capão do Leão"
242378;"BR";"Mariana Pimentel"
242379;"BR";"Vista Gaúcha"
242380;"BR";"Esperança do Sul"
242381;"BR";"São José do Ouro"
242382;"BR";"Novo Xingu"
242383;"BR";"Mato Leitão"
242384;"BR";"Planalto"
242385;"BR";"Cruzaltense"
242386;"BR";"Guaporé"
242387;"BR";"Soledade"
242388;"BR";"Erval Grande"
242389;"BR";"Brochier"
242390;"BR";"Jaguarão"
242391;"BR";"Tabaí"
242392;"BR";"Entre Rios do Sul"
242393;"BR";"Vila Flores"
242394;"BR";"Mostardas"
242395;"BR";"Estrela"
242396;"BR";"Pinhal Grande"
242397;"BR";"Porto Alegre"
242398;"BR";"Formigueiro"
242399;"BR";"São Leopoldo"
242400;"BR";"Quatro Irmãos"
242401;"BR";"Quevedos"
242402;"BR";"Protásio Alves"
242403;"BR";"Maximiliano de Almeida"
242404;"BR";"Campo Novo"
242405;"BR";"Santo Expedito do Sul"
242406;"BR";"Santa Tereza"
242407;"BR";"Cidreira"
242408;"BR";"Picada Café"
242409;"BR";"Hulha Negra"
242410;"BR";"São José do Hortêncio"
242411;"BR";"Cerro Grande"
242412;"BR";"Boa Vista do Sul"
242413;"BR";"Santa Clara do Sul"
242414;"BR";"Ibirubá"
242415;"BR";"Piratini"
242416;"BR";"Três Palmeiras"
242417;"BR";"São Valentim do Sul"
242418;"BR";"Panambi"
242419;"BR";"Boa Vista do Cadeado"
242420;"BR";"Silveira Martins"
242421;"BR";"Erval Seco"
242422;"BR";"Rodeio Bonito"
242423;"BR";"Arroio do Sal"
242424;"BR";"Tunas"
242425;"BR";"Itaqui"
242426;"BR";"Ponte Preta"
242427;"BR";"Camaquã"
242428;"BR";"São Miguel das Missões"
242429;"BR";"Nova Boa Vista"
242430;"BR";"Nova Candelária"
242431;"BR";"Dom Pedrito"
242432;"BR";"Lagoão"
242433;"BR";"São José dos Ausentes"
242434;"BR";"São Francisco de Assis"
242435;"BR";"Santo Antônio do Palma"
242436;"BR";"Torres"
242437;"BR";"Nova Palma"
242438;"BR";"Água Santa"
242439;"BR";"Boqueirão do Leão"
242440;"BR";"Ibiaçá"
242441;"BR";"Nova Roma do Sul"
242442;"BR";"Cacique Doble"
242443;"BR";"Portão"
242444;"BR";"Cerro Grande do Sul"
242445;"BR";"Áurea"
242446;"BR";"Três Coroas"
242447;"BR";"Entre-Ijuís"
242448;"BR";"Lagoa Bonita do Sul"
242449;"BR";"Viadutos"
242450;"BR";"Caxias do Sul"
242451;"BR";"Sant'Ana do Livramento"
242452;"BR";"Barra Funda"
242453;"BR";"Westfália"
242454;"BR";"Tavares"
242455;"BR";"General Câmara"
242456;"BR";"Não-Me-Toque"
242457;"BR";"Toropi"
242458;"BR";"Coronel Pilar"
242459;"BR";"Catuípe"
242460;"BR";"Santo Antônio do Planalto"
242461;"BR";"Capitão"
242462;"BR";"Itatiba do Sul"
242463;"BR";"Segredo"
242464;"BR";"Marques de Souza"
242465;"BR";"Minas do Leão"
242466;"BR";"Boa Vista do Incra"
242467;"BR";"Canela"
242468;"BR";"Paraíso do Sul"
242469;"BR";"Palmares do Sul"
242470;"BR";"Gentil"
242471;"BR";"Sapucaia do Sul"
242472;"BR";"Santa Rosa"
242473;"BR";"Santo Cristo"
242474;"BR";"Marcelino Ramos"
242475;"BR";"Sede Nova"
242476;"BR";"Rosário do Sul"
242477;"BR";"Cerrito"
242478;"BR";"Tapejara"
242479;"BR";"Pinheiro Machado"
242480;"BR";"Aratiba"
242481;"BR";"Vacaria"
242482;"BR";"Lagoa Vermelha"
242483;"BR";"Porto Mauá"
242484;"BR";"Glorinha"
242485;"BR";"Jaquirana"
242486;"BR";"Lagoa dos Três Cantos"
242487;"BR";"Lajeado"
242488;"BR";"Sinimbu"
242489;"BR";"Crissiumal"
242490;"BR";"São Gabriel"
242491;"BR";"David Canabarro"
242492;"BR";"Canguçu"
242493;"BR";"Alto Alegre"
242494;"BR";"Tio Hugo"
242495;"BR";"São João da Urtiga"
242496;"BR";"Eugênio de Castro"
242497;"BR";"Engenho Velho"
242498;"BR";"Igrejinha"
242499;"BR";"Butiá"
242500;"BR";"Guarani das Missões"
242501;"BR";"Parobé"
242502;"BR";"Pedro Osório"
242503;"BR";"São Francisco de Paula"
242504;"BR";"Bento Gonçalves"
242505;"BR";"Progresso"
242506;"BR";"Ipê"
242507;"BR";"Canudos do Vale"
242508;"BR";"Relvado"
242509;"BR";"Sete de Setembro"
242510;"BR";"Caiçara"
242511;"BR";"Getúlio Vargas"
242512;"BR";"Santo Antônio das Missões"
242513;"BR";"Trindade do Sul"
242514;"BR";"Bozano"
242515;"BR";"Cachoeirinha"
242516;"BR";"Barão"
242517;"BR";"Sério"
242518;"BR";"Roca Sales"
242519;"BR";"Vale Real"
242520;"BR";"Travesseiro"
242521;"BR";"Mariano Moro"
242522;"BR";"Nonoai"
242523;"BR";"Nova Bréscia"
242524;"BR";"Cambará do Sul"
242525;"BR";"Paulo Bento"
242526;"BR";"Cerro Branco"
242527;"BR";"Nicolau Vergueiro"
242528;"BR";"Presidente Lucena"
242529;"BR";"André da Rocha"
242530;"BR";"Três de Maio"
242531;"BR";"Triunfo"
242532;"BR";"São Pedro do Sul"
242533;"BR";"Ibarama"
242534;"BR";"Muitos Capões"
242535;"BR";"Senador Salgado Filho"
242536;"BR";"Dilermando de Aguiar"
242537;"BR";"Arroio do Meio"
242538;"BR";"Araricá"
242539;"BR";"Taquara"
242540;"BR";"São Sebastião do Caí"
242541;"BR";"Charqueadas"
242542;"BR";"Cristal do Sul"
242543;"BR";"Cruzeiro do Sul"
242544;"BR";"Terra de Areia"
242545;"BR";"Severiano de Almeida"
242546;"BR";"Coqueiro Baixo"
242547;"BR";"Bagé"
242548;"BR";"Tapera"
242549;"BR";"Jaboticaba"
242550;"BR";"Júlio de Castilhos"
242551;"BR";"Flores da Cunha"
