COD_MUNICIPIO,COD_UNICO_ENDERECO,NUM_QUADRA,NOM_LOGRADOURO,NUM_ENDERECO,NOM_LOGRADOURO_ADJACENTE,DIM_TESTADA,DIM_PROFUNDIDADE,AREA
4104501,01.03.002.4.0098.0900,01.03.002.4.0098,"TRAVESSA GUARACI",88,,10.00,31.73,NULL
4104501,01.03.002.4.0098.0700,01.03.002.4.0098,"TRAVESSA GUARACI",100,,10.00,31.73,NULL
4104501,01.03.002.4.0098.0500,01.03.002.4.0098,"TRAVESSA GUARACI",108,,10.00,31.73,NULL
4104501,01.04.001.1.067A.0300,01.04.001.1.067A,"TRAVESSA CANÁRIO",505,,10.00,34.99,NULL
4104501,01.04.001.2.103A.0400,01.04.001.2.103A,"TRAVESSA ANJICO",,,10.00,145.25,NULL
4104501,01.04.001.2.0101.0500,01.04.001.2.0101,"TRAVESSA ANJICO",18,,10.00,22.68,NULL
4104501,01.06.004.1.0073.0200,01.06.004.1.0073,"TRAVESSA  PROJETADA",78,,10.00,69.78,NULL
4104501,01.06.003.4.0013.0600,01.06.003.4.0013,"TRAVESSA  Nº 09",08,,10.00,89.20,NULL
4104501,01.06.003.4.0013.0500,01.06.003.4.0013,"TRAVESSA  Nº 09",,,10.00,74.00,NULL
4104501,01.06.003.4.0013.0300,01.06.003.4.0013,"TRAVESSA  Nº 09","" 236"",,10.00,163.80,NULL
4104501,01.06.003.4.0014.340C,01.06.003.4.0014,"TRAVESSA  Nº 06",641,,10.00,23.94,NULL
4104501,01.06.003.4.0014.340B,01.06.003.4.0014,"TRAVESSA  Nº 06",657,,10.00,23.94,NULL
4104501,01.06.003.4.0014.340A,01.06.003.4.0014,"TRAVESSA  Nº 06",629,,10.00,24.12,NULL
4104501,01.06.003.4.0010.140A,01.06.003.4.0010,"TRAVESSA  Nº 05","" 544"",,10.00,50.00,NULL
4104501,01.06.003.4.0009.1200,01.06.003.4.0009,"TRAVESSA  Nº 05",533,,10.00,100.00,NULL
4104501,01.06.003.4.0009.050C,01.06.003.4.0009,"TRAVESSA  Nº 05",555,,10.00,44.00,NULL
4104501,01.06.003.4.0009.050B,01.06.003.4.0009,"TRAVESSA  Nº 05",567,,10.00,44.00,NULL
4104501,01.06.003.4.0009.0500,01.06.003.4.0009,"TRAVESSA  Nº 05","" 579"",,10.00,44.00,NULL
4104501,01.06.003.4.0009.010C,01.06.003.4.0009,"TRAVESSA  Nº 04",580,,10.00,24.00,NULL
4104501,01.06.003.4.0009.010B,01.06.003.4.0009,"TRAVESSA  Nº 04",592,,10.00,23.25,NULL
4104501,01.06.003.4.0009.0100,01.06.003.4.0009,"TRAVESSA  Nº 04",556,,10.00,50.00,NULL
4104501,01.06.003.4.0008.070A,01.06.003.4.0008,"TRAVESSA  Nº 04",543,,10.00,22.00,NULL
4104501,01.06.003.4.0008.0700,01.06.003.4.0008,"TRAVESSA  Nº 04","" 555"",,10.00,44.00,NULL
4104501,01.06.003.4.0008.060B,01.06.003.4.0008,"TRAVESSA  Nº 04",581,,10.00,22.00,NULL
4104501,01.06.003.4.0008.060A,01.06.003.4.0008,"TRAVESSA  Nº 04",595,,10.00,44.00,NULL
4104501,01.06.003.4.0008.0600,01.06.003.4.0008,"TRAVESSA  Nº 04",571,,10.00,22.00,NULL
4104501,01.06.003.4.0013.1500,01.06.003.4.0013,"TRAVESSA  Nº  08",,,10.00,82.00,NULL
4104501,01.06.003.4.0013.1200,01.06.003.4.0013,"TRAVESSA  Nº  08",334,,10.00,82.00,NULL
4104501,01.06.003.4.0013.1100,01.06.003.4.0013,"TRAVESSA  Nº  08",,,10.00,82.00,NULL
4104501,01.06.002.3.048B.1600,01.06.002.3.048B,"TR WERNER BLADT",104,,10.00,26.18,NULL
4104501,01.06.002.3.048B.1500,01.06.002.3.048B,"TR WERNER BLADT",118,,10.00,22.44,NULL
4104501,01.06.002.3.048B.1400,01.06.002.3.048B,"TR WERNER BLADT",128,,10.00,22.44,NULL
4104501,01.06.002.3.048B.1300,01.06.002.3.048B,"TR WERNER BLADT",140,,10.00,22.44,NULL
4104501,01.06.002.3.048B.1200,01.06.002.3.048B,"TR WERNER BLADT",152,,10.00,22.44,NULL
4104501,01.06.002.3.048B.1100,01.06.002.3.048B,"TR WERNER BLADT",164,,10.00,22.44,NULL
4104501,01.06.002.3.048B.1000,01.06.002.3.048B,"TR WERNER BLADT",190,,10.00,22.44,NULL
4104501,01.06.002.3.048B.0900,01.06.002.3.048B,"TR WERNER BLADT",208,,10.00,26.18,NULL
4104501,01.06.002.0.048A.0800,01.06.002.0.048A,"TR WERNER BLADT",103,,10.00,26.04,NULL
4104501,01.06.002.0.048A.0700,01.06.002.0.048A,"TR WERNER BLADT",115,,10.00,22.32,NULL
4104501,01.06.002.0.048A.0600,01.06.002.0.048A,"TR WERNER BLADT",129,,10.00,22.32,NULL
4104501,01.06.002.0.048A.0500,01.06.002.0.048A,"TR WERNER BLADT",141,,10.00,22.32,NULL
4104501,01.06.002.0.048A.0400,01.06.002.0.048A,"TR WERNER BLADT",153,,10.00,22.32,NULL
4104501,01.06.002.0.048A.0300,01.06.002.0.048A,"TR WERNER BLADT",165,,10.00,22.32,NULL
4104501,01.06.002.0.048A.0200,01.06.002.0.048A,"TR WERNER BLADT",187,,10.00,22.32,NULL
4104501,01.06.002.0.048A.0100,01.06.002.0.048A,"TR WERNER BLADT",209,,10.00,26.04,NULL
4104501,01.06.001.2.CHAC.680B,01.06.001.2.CHAC,"TR RICIERI CAPELETTI",440,,10.00,486.02,NULL
4104501,01.06.001.2.0087.1200,01.06.001.2.0087,"TR RICIERI CAPELETTI","" 445"",,10.00,43.30,NULL
4104501,01.06.001.2.0087.1100,01.06.001.2.0087,"TR RICIERI CAPELETTI",431,,10.00,43.30,NULL
4104501,01.06.001.2.0087.1000,01.06.001.2.0087,"TR RICIERI CAPELETTI",419,,10.00,43.33,NULL
4104501,01.06.001.2.0087.0900,01.06.001.2.0087,"TR RICIERI CAPELETTI",407,,10.00,43.33,NULL
4104501,01.06.001.2.0087.0800,01.06.001.2.0087,"TR RICIERI CAPELETTI",395,,10.00,43.33,NULL
4104501,01.06.001.2.0087.0700,01.06.001.2.0087,"TR RICIERI CAPELETTI",383,,10.00,43.33,NULL
4104501,01.06.001.2.0087.0600,01.06.001.2.0087,"TR RICIERI CAPELETTI",371,,10.00,43.33,NULL
4104501,01.06.001.2.0087.0500,01.06.001.2.0087,"TR RICIERI CAPELETTI",357,,10.00,43.33,NULL
4104501,01.06.001.2.0087.0400,01.06.001.2.0087,"TR RICIERI CAPELETTI",345,,10.00,43.33,NULL
4104501,01.06.001.2.0087.0300,01.06.001.2.0087,"TR RICIERI CAPELETTI",333,,10.00,43.33,NULL
4104501,01.06.001.2.0087.0200,01.06.001.2.0087,"TR RICIERI CAPELETTI",325,,10.00,43.33,NULL
4104501,01.06.001.2.0087.01AA,01.06.001.2.0087,"TR RICIERI CAPELETTI",313,,10.00,25.66,NULL
4104501,01.04.001.2.CHAC.68BJ,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",410,,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68BI,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",400,,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68BH,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",382,,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68BG,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",378,,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68BF,01.04.001.2.CHAC,"TR RICIERI CAPELETTI","" 362"",,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68BE,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",350,,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68BD,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",340,,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68BC,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",328,,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68BB,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",314,,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68BA,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",424,,10.00,24.01,NULL
4104501,01.04.001.2.CHAC.68AA,01.04.001.2.CHAC,"TR RICIERI CAPELETTI",,,10.00,24.01,NULL
4104501,01.06.002.12.CHAC.04BN,01.06.002.12.CHAC,"TR PROF.VALDELIRIO MICHEL",579,,10.00,30.00,NULL
4104501,01.06.002.12.CHAC.04BL,01.06.002.12.CHAC,"TR PROF.VALDELIRIO MICHEL","" 507"",,10.00,75.00,NULL
4104501,01.06.002.12.CHAC.04BK,01.06.002.12.CHAC,"TR PROF.VALDELIRIO MICHEL","" 529"",,10.00,45.00,NULL
4104501,01.06.002.12.CHAC.04BJ,01.06.002.12.CHAC,"TR PROF.VALDELIRIO MICHEL","" 543"",,10.00,45.00,NULL
4104501,01.06.002.12.CHAC.04BI,01.06.002.12.CHAC,"TR PROF.VALDELIRIO MICHEL","" 557"",,10.00,30.00,NULL
4104501,01.06.002.12.CHAC.04BB,01.06.002.12.CHAC,"TR PROF.VALDELIRIO MICHEL",580,,10.00,854.15,NULL
4104501,01.05.002.3.039B.1000,01.05.002.3.039B,"TR PEDRO DE ROSS",112,,10.00,26.40,NULL
4104501,01.05.002.3.039B.0900,01.05.002.3.039B,"TR PEDRO DE ROSS",100,,10.00,26.40,NULL
4104501,01.05.002.3.039B.0800,01.05.002.3.039B,"TR PEDRO DE ROSS",088,,10.00,26.40,NULL
4104501,01.05.002.3.039B.0700,01.05.002.3.039B,"TR PEDRO DE ROSS",076,,10.00,26.40,NULL
4104501,01.05.002.3.039B.0600,01.05.002.3.039B,"TR PEDRO DE ROSS",64,,10.00,26.40,NULL
4104501,01.05.002.3.039B.0500,01.05.002.3.039B,"TR PEDRO DE ROSS",52,,10.00,26.40,NULL
4104501,01.05.002.3.039B.0400,01.05.002.3.039B,"TR PEDRO DE ROSS",040,,10.00,26.40,NULL
4104501,01.05.002.3.039B.0300,01.05.002.3.039B,"TR PEDRO DE ROSS",30,,10.00,26.40,NULL
4104501,01.05.002.3.039B.0200,01.05.002.3.039B,"TR PEDRO DE ROSS",20,,10.00,26.40,NULL
4104501,01.05.002.3.039B.0100,01.05.002.3.039B,"TR PEDRO DE ROSS",10,,10.00,26.40,NULL
4104501,01.05.002.3.039A.2000,01.05.002.3.039A,"TR PEDRO DE ROSS",05,,10.00,26.40,NULL
4104501,01.05.002.3.039A.1900,01.05.002.3.039A,"TR PEDRO DE ROSS",15,,10.00,26.40,NULL
4104501,01.05.002.3.039A.1800,01.05.002.3.039A,"TR PEDRO DE ROSS",25,,10.00,26.40,NULL
4104501,01.05.002.3.039A.1700,01.05.002.3.039A,"TR PEDRO DE ROSS",35,,10.00,26.40,NULL
4104501,01.05.002.3.039A.1600,01.05.002.3.039A,"TR PEDRO DE ROSS",51,,10.00,26.40,NULL
4104501,01.05.002.3.039A.1500,01.05.002.3.039A,"TR PEDRO DE ROSS",63,,10.00,26.40,NULL
4104501,01.05.002.3.039A.1400,01.05.002.3.039A,"TR PEDRO DE ROSS",075,,10.00,26.40,NULL
4104501,01.05.002.3.039A.1300,01.05.002.3.039A,"TR PEDRO DE ROSS",087,,10.00,26.40,NULL
4104501,01.05.002.3.039A.1200,01.05.002.3.039A,"TR PEDRO DE ROSS",099,,10.00,26.40,NULL
4104501,01.05.002.3.039A.1100,01.05.002.3.039A,"TR PEDRO DE ROSS",111,,10.00,26.40,NULL
4104501,01.02.002.0.0043.6A8B,01.02.002.0.0043,"TR NELSON NIZER",21,,10.00,48.18,NULL
4104501,01.02.002.0.0043.6A8A,01.02.002.0.0043,"TR NELSON NIZER",47,,10.00,48.18,NULL
4104501,01.02.002.0.0043.1900,01.02.002.0.0043,"TR NELSON NIZER",100,,10.00,33.50,NULL
4104501,01.02.002.0.0043.1800,01.02.002.0.0043,"TR NELSON NIZER",80,,10.00,47.63,NULL
4104501,01.02.002.0.0043.1700,01.02.002.0.0043,"TR NELSON NIZER",72,,10.00,47.63,NULL
4104501,01.02.002.0.0043.1600,01.02.002.0.0043,"TR NELSON NIZER",54,,10.00,47.63,NULL
4104501,01.02.002.0.0043.1500,01.02.002.0.0043,"TR NELSON NIZER",46,,10.00,38.61,NULL
4104501,01.02.002.0.0043.1400,01.02.002.0.0043,"TR NELSON NIZER",34,,10.00,38.61,NULL
4104501,01.02.002.0.0043.1100,01.02.002.0.0043,"TR NELSON NIZER",83,,10.00,45.92,NULL
4104501,01.02.002.0.0043.1000,01.02.002.0.0043,"TR NELSON NIZER",77,,10.00,45.92,NULL
4104501,01.02.002.0.0043.0900,01.02.002.0.0043,"TR NELSON NIZER",65,,10.00,45.92,NULL
4104501,01.02.002.0.0043.067B,01.02.002.0.0043,"TR NELSON NIZER",23,,10.00,29.55,NULL
4104501,01.02.001.0.082A.1200,01.02.001.0.082A,"TR JOSE FLORIANO BRANDAO",88,,10.00,52.20,NULL
4104501,01.02.001.0.082A.1100,01.02.001.0.082A,"TR JOSE FLORIANO BRANDAO",76,,10.00,46.40,NULL
4104501,01.02.001.0.082A.1000,01.02.001.0.082A,"TR JOSE FLORIANO BRANDAO",54,,10.00,46.40,NULL
4104501,01.02.001.0.082A.0900,01.02.001.0.082A,"TR JOSE FLORIANO BRANDAO",40,,10.00,46.40,NULL
