CODIGO_CARTOGRAFICO,FACE,DIMENSAO_M,AZIMUTE,LAT_CENTROIDE,LNG_CENTROIDE,SC_ID_LOGRADOURO,NOM_LOGRADOURO,CI_ID_FACE
01.02.001.0.0020,1,120.77,285.48,-25.66593825,-53.80642625,C7998C13,"RUA PERNAMBUCO",4104501;01.02.001.0.0020;C7998C13
01.02.001.0.0020,4,120.33,15.32,-25.666485,-53.8059345,7473D9A5,"RUA TAMOIOS",4104501;01.02.001.0.0020;7473D9A5
01.02.001.0.0020,3,120.77,105.48,-25.667039,-53.806639,6741EDC0,"RUA ALAGOAS",4104501;01.02.001.0.0020;6741EDC0
01.02.001.0.0020,2,120.33,195.32,-25.66633,-53.8071634,4245F20E,"RUA PADRE CIRILO",4104501;01.02.001.0.0020;4245F20E
01.02.001.0.0018,3,120.77,105.48,-25.665827,-53.806233,C7998C13,"RUA PERNAMBUCO",4104501;01.02.001.0.0018;C7998C13
01.02.001.0.0018,2,120.33,195.32,-25.6651168,-53.8067838,4245F20E,"RUA PADRE CIRILO",4104501;01.02.001.0.0018;4245F20E
01.02.001.0.0018,1,120.77,285.48,-25.664757375,-53.80587975,C44485D3,"RUA PARAIBA",4104501;01.02.001.0.0018;C44485D3
01.02.001.0.0018,4,120.33,15.32,-25.665483333333334,-53.805632333333335,7473D9A5,"RUA TAMOIOS",4104501;01.02.001.0.0018;7473D9A5
