codigo_ibge_municipio,_c1,_c2,_c3
4118402,01.03.492.0266,653 - PEDRO MORETTI - JARDIM LARANJEIRAS I,SN
4118402,01.03.492.0314,653 - PEDRO MORETTI - JARDIM LARANJEIRAS I,SN
4118402,01.03.492.0327,653 - PEDRO MORETTI - JARDIM LARANJEIRAS I,SN
4118402,01.03.492.0230,653 - PEDRO MORETTI - JARDIM LARANJEIRAS I,SN
4118402,01.03.492.0290,653 - PEDRO MORETTI - JARDIM LARANJEIRAS I,SN
4118402,01.03.006.0377,136 - SALGADO FILHO,545
4118402,01.06.046.0697,321 - VIVALDO RAMOS,SN
4118402,01.04.127.0214,3 - VISCONDE TAUNAY,S/N
4118402,01.04.127.0229,3 - VISCONDE TAUNAY,S/N
4118402,01.04.127.0244,3 - VISCONDE TAUNAY,S/N
4118402,01.02.395.0100,220 - GUERINO POMIN,SN
4118402,01.03.445.0198,662 - ANTONIO SILVESTRE OLIVEIRA,651
4118402,01.03.445.0185,662 - ANTONIO SILVESTRE OLIVEIRA,659
4118402,01.03.445.0177,105 - AMAZONAS,677
4118402,01.03.445.0177,105 - AMAZONAS,3650
4118402,01.04.182.0324,11 - VOLUNTARIO DA PATRIA,SN
4118402,01.03.194.0170,157 - BENEDITO PEREIRA TANGERINO FILHO,S/N
4118402,01.03.194.0170,157 - BENEDITO PEREIRA TANGERINO FILHO,270
4118402,01.03.194.0170,157 - BENEDITO PEREIRA TANGERINO FILHO,266
4118402,01.03.095.0071,146 - ANTONIO JOSE DA SILVA,SN
4118402,01.01.086.0265,1 - Getúlio Vargas,1485
4118402,01.01.086.0265,116 - AMAPA,1475
4118402,01.06.130.0707,767 - LUIZ DIOGO FERRAZ,1665
4118402,01.06.001.0023,259 - ASSIS CHATEAUBRIAND,1540
4118402,01.06.001.0011,259 - ASSIS CHATEAUBRIAND,1552
4118402,01.06.130.0871,485 - PASSAGEM 10,S/N
4118402,01.06.113.0061,297 - JOAO PEREIRA,SN
4118402,01.06.130.0650,767 - LUIZ DIOGO FERRAZ,1717
4118402,01.06.130.0607,767 - LUIZ DIOGO FERRAZ,1757
4118402,01.06.130.0534,486 - PASSAGEM 11,S/N
