id_quadra,id_quadra_logradouro,cd_logradouro,nm_logradouro,nr_ui,qt_logradouros
01.04.163,"{'01.04.163_FELIPE DOS SANTOS', '01.04.163_TIRADENTES', '01.04.163_CARLOS GOMES', '01.04.163_PEREIRA PASSOS'}","{'4', '32', '5', '33'}","{'TIRADENTES', 'FELIPE DOS SANTOS', 'CARLOS GOMES', 'PEREIRA PASSOS'}","{724.6666666666666, 1069.0, 1022.9, 959.6}",4
01.04.077,"{'01.04.077_CARLOS CANCIAN', '01.04.077_ALCINDO ALVES DE LIMA', '01.04.077_JOSE DE ALENCAR', '01.04.077_MIGUEL COUTO'}","{'50', '21', '20', '51'}","{'MIGUEL COUTO', 'CARLOS CANCIAN', 'ALCINDO ALVES DE LIMA', 'JOSE DE ALENCAR'}","{107.66666666666667, 178.0, 75.8, 76.57142857142857}",4
01.04.076,"{'01.04.076_CARLOS CANCIAN', '01.04.076_ALCINDO ALVES DE LIMA', '01.04.076_MACHADO DE ASSIS', '01.04.076_JOSE DE ALENCAR'}","{'50', '49', '21', '20'}","{'CARLOS CANCIAN', 'ALCINDO ALVES DE LIMA', 'MACHADO DE ASSIS', 'JOSE DE ALENCAR'}","{544.0, 183.5, 155.14285714285714, 151.4}",4
01.04.075,"{'01.04.075_MACHADO DE ASSIS', '01.04.075_PIONEIRO SIMIAO', '01.04.075_ALCINDO ALVES DE LIMA', '01.04.075_CARLOS CANCIAN'}","{'49', '21', '48', '20'}","{'PIONEIRO SIMIAO', 'CARLOS CANCIAN', 'ALCINDO ALVES DE LIMA', 'MACHADO DE ASSIS'}","{530.0, 244.28571428571428, 597.2, 247.22222222222223}",4
01.04.073,"{'01.04.073_ALCINDO ALVES DE LIMA', '01.04.073_ROOSEVELT', '01.04.073_CARLOS CANCIAN', '01.04.073_PIO XII'}","{'21', '20', '47', '40'}","{'CARLOS CANCIAN', 'ALCINDO ALVES DE LIMA', 'ROOSEVELT', 'PIO XII'}","{650.3333333333334, 475.0, 516.0, 685.0}",4
01.04.072,"{'01.04.072_EUCLIDES DA CUNHA', '01.04.072_ANTONIO JOAO', '01.04.072_OSCARLINO CARVALHO DUARTE', '01.04.072_PROF GERALDO LONGO'}","{'36', '17', '35', '16'}","{'OSCARLINO CARVALHO DUARTE', 'PROF GERALDO LONGO', 'ANTONIO JOAO', 'EUCLIDES DA CUNHA'}","{249.66666666666666, 727.6666666666666, 620.0, 575.0}",4
01.04.088,"{'01.04.088_PROF GERALDO LONGO', '01.04.088_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.088_TIRADENTES', '01.04.088_INDEPENDENCIA'}","{'33', '6713', '16', '34'}","{'TIRADENTES', 'PROF GERALDO LONGO', 'DEPUTADO HEITOR ALENCAR FURTADO', 'INDEPENDENCIA'}","{449.75, 2363.25, 644.4, 1005.5}",4
01.04.089,"{'01.04.089_FELIPE DOS SANTOS', '01.04.089_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.089_PROF GERALDO LONGO', '01.04.089_TIRADENTES'}","{'32', '6713', '16', '33'}","{'TIRADENTES', 'PROF GERALDO LONGO', 'FELIPE DOS SANTOS', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{560.0, 2282.1, 635.8, 397.25}",4
01.04.090,"{'01.04.090_FELIPE DOS SANTOS', '01.04.090_PROF GERALDO LONGO', '01.04.090_FARROUPILHA', '01.04.090_DEPUTADO HEITOR ALENCAR FURTADO'}","{'32', '31', '6713', '16'}","{'FARROUPILHA', 'PROF GERALDO LONGO', 'FELIPE DOS SANTOS', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{401.0, 426.3, 673.6, 2605.3333333333335}",4
01.04.099,"{'01.04.099_BARAO DO RIO BRANCO', '01.04.099_MONTEIRO LOBATO', '01.04.099_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.099_DUQUE DE CAXIAS'}","{'29', '28', '6713', '2'}","{'MONTEIRO LOBATO', 'BARAO DO RIO BRANCO', 'DUQUE DE CAXIAS', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{1066.6, 284.7142857142857, 222.0, 2878.4285714285716}",4
01.04.105,"{'01.04.105_BARAO DO RIO BRANCO', '01.04.105_OSCARLINO CARVALHO DUARTE', '01.04.105_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.105_INDEPENDENCIA'}","{'35', '6713', '2', '34'}","{'OSCARLINO CARVALHO DUARTE', 'BARAO DO RIO BRANCO', 'DEPUTADO HEITOR ALENCAR FURTADO', 'INDEPENDENCIA'}","{875.0, 225.57142857142858, 2225.4, 731.5714285714286}",4
01.04.104,"{'01.04.104_TIRADENTES', '01.04.104_BARAO DO RIO BRANCO', '01.04.104_INDEPENDENCIA', '01.04.104_DEPUTADO HEITOR ALENCAR FURTADO'}","{'33', '6713', '2', '34'}","{'TIRADENTES', 'BARAO DO RIO BRANCO', 'DEPUTADO HEITOR ALENCAR FURTADO', 'INDEPENDENCIA'}","{808.375, 873.6666666666666, 301.0, 2367.0}",4
01.04.103,"{'01.04.103_FELIPE DOS SANTOS', '01.04.103_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.103_TIRADENTES', '01.04.103_BARAO DO RIO BRANCO'}","{'32', '6713', '2', '33'}","{'TIRADENTES', 'BARAO DO RIO BRANCO', 'FELIPE DOS SANTOS', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{2465.25, 475.6666666666667, 398.0, 774.3333333333334}",4
01.04.102,"{'01.04.102_BARAO DO RIO BRANCO', '01.04.102_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.102_FELIPE DOS SANTOS', '01.04.102_FARROUPILHA'}","{'32', '31', '6713', '2'}","{'FARROUPILHA', 'BARAO DO RIO BRANCO', 'FELIPE DOS SANTOS', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{512.0, 506.4, 2589.6, 535.6666666666666}",4
01.04.101,"{'01.04.101_FARROUPILHA', '01.04.101_RIACHUELO', '01.04.101_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.101_JOSE APARECIDO DE FARIA'}","{'31', '421', '6713', '30'}","{'FARROUPILHA', 'JOSE APARECIDO DE FARIA', 'RIACHUELO', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{550.2, 34.2, 476.2857142857143, 2702.1666666666665}",4
01.04.100,"{'01.04.100_RIACHUELO', '01.04.100_BARAO DO RIO BRANCO', '01.04.100_DUQUE DE CAXIAS', '01.04.100_DEPUTADO HEITOR ALENCAR FURTADO'}","{'29', '6713', '2', '30'}","{'RIACHUELO', 'BARAO DO RIO BRANCO', 'DUQUE DE CAXIAS', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{407.5, 497.2857142857143, 2813.0, 967.8333333333334}",4
01.04.098,"{'01.04.098_MONTEIRO LOBATO', '01.04.098_FRANCISCO GOMES DE LIMA', '01.04.098_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.098_BARAO DO RIO BRANCO'}","{'27', '28', '6713', '2'}","{'MONTEIRO LOBATO', 'BARAO DO RIO BRANCO', 'FRANCISCO GOMES DE LIMA', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{nan, 697.5, 1194.6, 2999.0}",4
01.04.091,"{'01.04.091_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.091_PROF GERALDO LONGO', '01.04.091_FARROUPILHA', '01.04.091_RIACHUELO'}","{'31', '6713', '16', '30'}","{'FARROUPILHA', 'RIACHUELO', 'PROF GERALDO LONGO', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{784.875, 2659.3333333333335, 420.3333333333333, 343.6666666666667}",4
01.04.097,"{'01.04.097_BARAO DO RIO BRANCO', '01.04.097_GUIA LOPES', '01.04.097_FRANCISCO GOMES DE LIMA', '01.04.097_DEPUTADO HEITOR ALENCAR FURTADO'}","{'27', '302', '6713', '2'}","{'GUIA LOPES', 'BARAO DO RIO BRANCO', 'FRANCISCO GOMES DE LIMA', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{154.44444444444446, 3133.625, 1318.0, 199.4}",4
01.04.096,"{'01.04.096_CAPITAO TELMO RIBEIRO', '01.04.096_OLINDINA DA SILVA', '01.04.096_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.096_GUIA LOPES'}","{'59', '302', '6713', '60'}","{'CAPITAO TELMO RIBEIRO', 'OLINDINA DA SILVA', 'GUIA LOPES', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{nan, 3170.0, 61.333333333333336, 144.0}",4
01.04.160,"{'01.04.160_EUCLIDES DA CUNHA', '01.04.160_OSCARLINO CARVALHO DUARTE', '01.04.160_PEREIRA PASSOS', '01.04.160_CARLOS GOMES'}","{'4', '36', '5', '35'}","{'OSCARLINO CARVALHO DUARTE', 'EUCLIDES DA CUNHA', 'CARLOS GOMES', 'PEREIRA PASSOS'}","{928.0, 1225.0, 859.0, 605.75}",4
01.04.094,"{'01.04.094_PROF GERALDO LONGO', '01.04.094_DEPUTADO HEITOR ALENCAR FURTADO', '01.04.094_FRANCISCO GOMES DE LIMA', '01.04.094_MONTEIRO LOBATO'}","{'27', '28', '6713', '16'}","{'MONTEIRO LOBATO', 'PROF GERALDO LONGO', 'FRANCISCO GOMES DE LIMA', 'DEPUTADO HEITOR ALENCAR FURTADO'}","{58.0, 2963.5, 1162.5, 191.66666666666666}",4
