,id_quadra_logradouro,id_quadra,cd_logradouro,nm_logradouro
14149,01.01.050_SERAFIM AFONSO COSTA,01.01.050,87,SERAFIM AFONSO COSTA
137,01.01.051_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.051,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
18540,01.01.051_MATO GROSSO,01.01.051,89,MATO GROSSO
14690,01.01.051_PARA,01.01.051,108,PARA
1774,01.01.051_SERAFIM AFONSO COSTA,01.01.051,87,SERAFIM AFONSO COSTA
14262,01.01.052_MATO GROSSO,01.01.052,89,MATO GROSSO
25904,01.01.052_PARA,01.01.052,108,PARA
14172,01.01.052_PARAIBA,01.01.052,109,PARAIBA
53,01.01.052_SERAFIM AFONSO COSTA,01.01.052,87,SERAFIM AFONSO COSTA
14625,01.01.053_PARAIBA,01.01.053,109,PARAIBA
5294,01.01.053_SALVADOR,01.01.053,97,SALVADOR
14979,01.01.053_SERGIPE,01.01.053,110,SERGIPE
2969,01.01.054_CEARA,01.01.054,88,CEARA
15032,01.01.054_SALVADOR,01.01.054,97,SALVADOR
5303,01.01.054_SERAFIM AFONSO COSTA,01.01.054,87,SERAFIM AFONSO COSTA
4190,01.01.055_BELO HORIZONTE,01.01.055,99,BELO HORIZONTE
14761,01.01.055_CEARA,01.01.055,88,CEARA
49780,01.01.055_PIAUI,01.01.055,112,PIAUI
41094,01.01.055_SERAFIM AFONSO COSTA,01.01.055,87,SERAFIM AFONSO COSTA
29006,01.01.056_BAHIA,01.01.056,90,BAHIA
3630,01.01.056_OSVALDO BRANDAO,01.01.056,113,OSVALDO BRANDAO
3631,01.01.056_SOUZA NAVES,01.01.056,114,SOUZA NAVES
40138,01.01.057_BAHIA,01.01.057,90,BAHIA
40137,01.01.057_MARECHAL CANDIDO RONDON,01.01.057,115,MARECHAL CANDIDO RONDON
40136,01.01.057_SOUZA NAVES,01.01.057,114,SOUZA NAVES
11239,01.01.058_AMAPA,01.01.058,116,AMAPA
1767,01.01.058_BAHIA,01.01.058,90,BAHIA
35471,01.01.058_MARECHAL CANDIDO RONDON,01.01.058,115,MARECHAL CANDIDO RONDON
3341,01.01.058_SERAFIM AFONSO COSTA,01.01.058,87,SERAFIM AFONSO COSTA
1771,01.01.059_AMAPA,01.01.059,116,AMAPA
4909,01.01.059_BAHIA,01.01.059,90,BAHIA
3023,01.01.059_GUAPORE,01.01.059,117,GUAPORE
1775,01.01.059_SERAFIM AFONSO COSTA,01.01.059,87,SERAFIM AFONSO COSTA
1770,01.01.060_BAHIA,01.01.060,90,BAHIA
1773,01.01.060_GUAPORE,01.01.060,117,GUAPORE
10922,01.01.060_LUIZ SPIGOLON,01.01.060,118,LUIZ SPIGOLON
12585,01.01.060_SERAFIM AFONSO COSTA,01.01.060,87,SERAFIM AFONSO COSTA
3013,01.01.061_ANTONIO FELIPPE,01.01.061,92,ANTONIO FELIPPE
21241,01.01.061_BAHIA,01.01.061,90,BAHIA
3071,01.01.061_GUAPORE,01.01.061,117,GUAPORE
19171,01.01.061_LUIZ SPIGOLON,01.01.061,118,LUIZ SPIGOLON
4923,01.01.062_AMAPA,01.01.062,116,AMAPA
1115,01.01.062_ANTONIO FELIPPE,01.01.062,92,ANTONIO FELIPPE
3024,01.01.062_BAHIA,01.01.062,90,BAHIA
1117,01.01.062_GUAPORE,01.01.062,117,GUAPORE
2985,01.01.063_AMAPA,01.01.063,116,AMAPA
4540,01.01.063_ANTONIO FELIPPE,01.01.063,92,ANTONIO FELIPPE
4529,01.01.063_BAHIA,01.01.063,90,BAHIA
4535,01.01.063_MARECHAL CANDIDO RONDON,01.01.063,115,MARECHAL CANDIDO RONDON
30146,01.01.064_BAHIA,01.01.064,90,BAHIA
21045,01.01.065_ANTONIO FELIPPE,01.01.065,92,ANTONIO FELIPPE
3220,01.01.065_BAHIA,01.01.065,90,BAHIA
4382,01.01.065_SOUZA NAVES,01.01.065,114,SOUZA NAVES
3055,01.01.066_BAHIA,01.01.066,90,BAHIA
2982,01.01.066_OSVALDO BRANDAO,01.01.066,113,OSVALDO BRANDAO
19172,01.01.066_PARANA,01.01.066,98,PARANA
4458,01.01.066_SOUZA NAVES,01.01.066,114,SOUZA NAVES
49849,01.01.067_OSVALDO BRANDAO,01.01.067,113,OSVALDO BRANDAO
10531,01.01.068_ARMANDO CASTRO ARAUJO,01.01.068,91,ARMANDO CASTRO ARAUJO
28483,01.01.069_DISTRITO FEDERAL,01.01.069,75,DISTRITO FEDERAL
3018,01.01.070_ANTONIO FELIPPE,01.01.070,92,ANTONIO FELIPPE
4461,01.01.070_ARMANDO CASTRO ARAUJO,01.01.070,91,ARMANDO CASTRO ARAUJO
13274,01.01.070_MINAS GERAIS,01.01.070,111,MINAS GERAIS
30074,01.01.070_PARANA,01.01.070,98,PARANA
30071,01.01.071_ANTONIO FELIPPE,01.01.071,92,ANTONIO FELIPPE
29833,01.01.071_ARMANDO CASTRO ARAUJO,01.01.071,91,ARMANDO CASTRO ARAUJO
