,id_quadra_logradouro,id_quadra,cd_logradouro,nm_logradouro
41299,01.03.037_ETTORE GIOVINE,01.03.037,106,ETTORE GIOVINE
1102,01.03.038_DEPUTADO HEITOR ALENCAR FURTADO,01.03.038,6713,DEPUTADO HEITOR ALENCAR FURTADO
30085,01.03.038_DR VIEIRA LINS,01.03.038,130,DR VIEIRA LINS
2675,01.03.038_JOAO BATISTA MACHADO,01.03.038,139,JOAO BATISTA MACHADO
1122,01.03.039_DEPUTADO HEITOR ALENCAR FURTADO,01.03.039,6713,DEPUTADO HEITOR ALENCAR FURTADO
1130,01.03.039_DR VIEIRA LINS,01.03.039,130,DR VIEIRA LINS
2207,01.03.039_JOAO BATISTA MACHADO,01.03.039,139,JOAO BATISTA MACHADO
406,01.03.040_DEPUTADO HEITOR ALENCAR FURTADO,01.03.040,6713,DEPUTADO HEITOR ALENCAR FURTADO
10013,01.03.041_ALBINO SILVA,01.03.041,132,ALBINO SILVA
17477,01.03.041_DEPUTADO HEITOR ALENCAR FURTADO,01.03.041,6713,DEPUTADO HEITOR ALENCAR FURTADO
35689,01.03.041_JOAO BATISTA MACHADO,01.03.041,139,JOAO BATISTA MACHADO
21468,01.03.041_SOUZA NAVES,01.03.041,114,SOUZA NAVES
25897,01.03.042_DEPUTADO HEITOR ALENCAR FURTADO,01.03.042,6713,DEPUTADO HEITOR ALENCAR FURTADO
47513,01.03.042_JOAO BATISTA MACHADO,01.03.042,139,JOAO BATISTA MACHADO
26104,01.03.042_SOUZA NAVES,01.03.042,114,SOUZA NAVES
21563,01.03.042_VOLUNTARIO HERMENEGILDO DE SOUZA MEDEIROS,01.03.042,329,VOLUNTARIO HERMENEGILDO DE SOUZA MEDEIROS
21285,01.03.043_DEPUTADO HEITOR ALENCAR FURTADO,01.03.043,6713,DEPUTADO HEITOR ALENCAR FURTADO
11218,01.03.043_JOAO BATISTA MACHADO,01.03.043,139,JOAO BATISTA MACHADO
11206,01.03.043_JOAO PAULO DA COSTA VELHO,01.03.043,195,JOAO PAULO DA COSTA VELHO
16787,01.03.043_VOLUNTARIO HERMENEGILDO DE SOUZA MEDEIROS,01.03.043,329,VOLUNTARIO HERMENEGILDO DE SOUZA MEDEIROS
21498,01.03.044_ALTINO ALONSO,01.03.044,331,ALTINO ALONSO
11229,01.03.044_DEPUTADO HEITOR ALENCAR FURTADO,01.03.044,6713,DEPUTADO HEITOR ALENCAR FURTADO
11235,01.03.044_JOAO BATISTA MACHADO,01.03.044,139,JOAO BATISTA MACHADO
22819,01.03.044_JOAO PAULO DA COSTA VELHO,01.03.044,195,JOAO PAULO DA COSTA VELHO
27235,01.03.045_ALTINO ALONSO,01.03.045,331,ALTINO ALONSO
1503,01.03.045_DEPUTADO HEITOR ALENCAR FURTADO,01.03.045,6713,DEPUTADO HEITOR ALENCAR FURTADO
14698,01.03.045_GUAPORE,01.03.045,117,GUAPORE
4044,01.03.045_JOAO BATISTA MACHADO,01.03.045,139,JOAO BATISTA MACHADO
27108,01.03.046_CATULO DA PAIXAO,01.03.046,125,CATULO DA PAIXAO
1377,01.03.046_DEPUTADO HEITOR ALENCAR FURTADO,01.03.046,6713,DEPUTADO HEITOR ALENCAR FURTADO
1376,01.03.046_SAO SALVADOR,01.03.046,120,SAO SALVADOR
17209,01.03.047_HUMBERTO DE CAMPOS,01.03.047,126,HUMBERTO DE CAMPOS
8013,01.03.047_SAO SALVADOR,01.03.047,120,SAO SALVADOR
802,01.03.048_AMAZONAS,01.03.048,105,AMAZONAS
6717,01.03.048_HUMBERTO DE CAMPOS,01.03.048,126,HUMBERTO DE CAMPOS
25166,01.03.048_JOAO BATISTA MACHADO,01.03.048,139,JOAO BATISTA MACHADO
8012,01.03.048_SAO SALVADOR,01.03.048,120,SAO SALVADOR
30398,01.03.049_CATULO DA PAIXAO,01.03.049,125,CATULO DA PAIXAO
30396,01.03.049_DEPUTADO HEITOR ALENCAR FURTADO,01.03.049,6713,DEPUTADO HEITOR ALENCAR FURTADO
6626,01.03.050_DEPUTADO HEITOR ALENCAR FURTADO,01.03.050,6713,DEPUTADO HEITOR ALENCAR FURTADO
14730,01.03.051_ARDUINO MARIO MORINI,01.03.051,140,ARDUINO MARIO MORINI
17803,01.03.051_GERALDO PEREIRA DOS SANTOS,01.03.051,143,GERALDO PEREIRA DOS SANTOS
31093,01.03.051_LUIZ SPIGOLON,01.03.051,118,LUIZ SPIGOLON
17799,01.03.051_PARANA,01.03.051,98,PARANA
4742,01.03.052_ARDUINO MARIO MORINI,01.03.052,140,ARDUINO MARIO MORINI
5415,01.03.052_NICOLA FRANCISCO,01.03.052,144,NICOLA FRANCISCO
5419,01.03.052_PARANA,01.03.052,98,PARANA
15696,01.03.053_NICOLA FRANCISCO,01.03.053,144,NICOLA FRANCISCO
5844,01.03.053_PARANA,01.03.053,98,PARANA
11306,01.03.053_PROF NEUZA CASCAO BORBA,01.03.053,141,PROF NEUZA CASCAO BORBA
17747,01.03.054_ARDUINO MARIO MORINI,01.03.054,140,ARDUINO MARIO MORINI
14739,01.03.054_GERALDO PEREIRA DOS SANTOS,01.03.054,143,GERALDO PEREIRA DOS SANTOS
26775,01.03.054_LUIZ SPIGOLON,01.03.054,118,LUIZ SPIGOLON
5381,01.03.054_PROF NEUZA CASCAO BORBA,01.03.054,141,PROF NEUZA CASCAO BORBA
14718,01.03.055_ARDUINO MARIO MORINI,01.03.055,140,ARDUINO MARIO MORINI
14706,01.03.055_GERALDO PEREIRA DOS SANTOS,01.03.055,143,GERALDO PEREIRA DOS SANTOS
5418,01.03.055_NICOLA FRANCISCO,01.03.055,144,NICOLA FRANCISCO
5244,01.03.055_PROF NEUZA CASCAO BORBA,01.03.055,141,PROF NEUZA CASCAO BORBA
787,01.03.056_LUIZ SPIGOLON,01.03.056,118,LUIZ SPIGOLON
18296,01.03.056_PROF NEUZA CASCAO BORBA,01.03.056,141,PROF NEUZA CASCAO BORBA
17178,01.03.056_SEBASTIAO CANDIDO DE FREITAS,01.03.056,138,SEBASTIAO CANDIDO DE FREITAS
5062,01.03.057_ANTONIO DIAMANTE,01.03.057,145,ANTONIO DIAMANTE
30780,01.03.057_LUIZ SPIGOLON,01.03.057,118,LUIZ SPIGOLON
30747,01.03.057_OZIRES RAMIRO DE ASSIS,01.03.057,142,OZIRES RAMIRO DE ASSIS
46328,01.03.057_SEBASTIAO CANDIDO DE FREITAS,01.03.057,138,SEBASTIAO CANDIDO DE FREITAS
18410,01.03.058_ANTONIO DIAMANTE,01.03.058,145,ANTONIO DIAMANTE
1047,01.03.058_LUIZ SPIGOLON,01.03.058,118,LUIZ SPIGOLON
18407,01.03.058_OZIRES RAMIRO DE ASSIS,01.03.058,142,OZIRES RAMIRO DE ASSIS
5071,01.03.059_ANTONIO DIAMANTE,01.03.059,145,ANTONIO DIAMANTE
4043,01.03.059_OZIRES RAMIRO DE ASSIS,01.03.059,142,OZIRES RAMIRO DE ASSIS
4042,01.03.059_PROF NEUZA CASCAO BORBA,01.03.059,141,PROF NEUZA CASCAO BORBA
4907,01.03.060_ANTONIO DIAMANTE,01.03.060,145,ANTONIO DIAMANTE
18420,01.03.060_DEPUTADO HEITOR ALENCAR FURTADO,01.03.060,6713,DEPUTADO HEITOR ALENCAR FURTADO
18334,01.03.060_OZIRES RAMIRO DE ASSIS,01.03.060,142,OZIRES RAMIRO DE ASSIS
4065,01.03.060_TROPHINO ALVES BUDAL,01.03.060,173,TROPHINO ALVES BUDAL
18299,01.03.061_OZIRES RAMIRO DE ASSIS,01.03.061,142,OZIRES RAMIRO DE ASSIS
14702,01.03.061_TROPHINO ALVES BUDAL,01.03.061,173,TROPHINO ALVES BUDAL
19733,01.03.062_DEPUTADO HEITOR ALENCAR FURTADO,01.03.062,6713,DEPUTADO HEITOR ALENCAR FURTADO
4061,01.03.062_OZIRES RAMIRO DE ASSIS,01.03.062,142,OZIRES RAMIRO DE ASSIS
20336,01.03.062_PAULO ANTONIO DA COSTA,01.03.062,174,PAULO ANTONIO DA COSTA
19720,01.03.062_TROPHINO ALVES BUDAL,01.03.062,173,TROPHINO ALVES BUDAL
10134,01.03.063_DEPUTADO HEITOR ALENCAR FURTADO,01.03.063,6713,DEPUTADO HEITOR ALENCAR FURTADO
17138,01.03.063_PAULO ANTONIO DA COSTA,01.03.063,174,PAULO ANTONIO DA COSTA
14645,01.03.063_PROF NEUZA CASCAO BORBA,01.03.063,141,PROF NEUZA CASCAO BORBA
8218,01.03.064_ANTONIO JOSE DA SILVA,01.03.064,146,ANTONIO JOSE DA SILVA
32524,01.03.064_CAPITAO TELMO RIBEIRO,01.03.064,59,CAPITAO TELMO RIBEIRO
6843,01.03.065_DEPUTADO HEITOR ALENCAR FURTADO,01.03.065,6713,DEPUTADO HEITOR ALENCAR FURTADO
3878,01.03.065_ROTARY,01.03.065,124,ROTARY
6840,01.03.066_ANTONIO JOSE DA SILVA,01.03.066,146,ANTONIO JOSE DA SILVA
6447,01.03.066_CATULO DA PAIXAO,01.03.066,125,CATULO DA PAIXAO
1418,01.03.066_DEPUTADO HEITOR ALENCAR FURTADO,01.03.066,6713,DEPUTADO HEITOR ALENCAR FURTADO
6446,01.03.066_ROTARY,01.03.066,124,ROTARY
6315,01.03.067_ANTONIO JOSE DA SILVA,01.03.067,146,ANTONIO JOSE DA SILVA
6621,01.03.067_CATULO DA PAIXAO,01.03.067,125,CATULO DA PAIXAO
17593,01.03.067_DEPUTADO HEITOR ALENCAR FURTADO,01.03.067,6713,DEPUTADO HEITOR ALENCAR FURTADO
6630,01.03.067_HUMBERTO DE CAMPOS,01.03.067,126,HUMBERTO DE CAMPOS
6317,01.03.068_AMAZONAS,01.03.068,105,AMAZONAS
22097,01.03.068_ANTONIO JOSE DA SILVA,01.03.068,146,ANTONIO JOSE DA SILVA
32037,01.03.068_DEPUTADO HEITOR ALENCAR FURTADO,01.03.068,6713,DEPUTADO HEITOR ALENCAR FURTADO
20276,01.03.068_HUMBERTO DE CAMPOS,01.03.068,126,HUMBERTO DE CAMPOS
43551,01.03.069_DEPUTADO HEITOR ALENCAR FURTADO,01.03.069,6713,DEPUTADO HEITOR ALENCAR FURTADO
67,01.03.070_ANTONIO JOSE DA SILVA,01.03.070,146,ANTONIO JOSE DA SILVA
2635,01.03.070_DEPUTADO HEITOR ALENCAR FURTADO,01.03.070,6713,DEPUTADO HEITOR ALENCAR FURTADO
49,01.03.070_INDUSTRIAL ALBINO FERRACINI,01.03.070,168,INDUSTRIAL ALBINO FERRACINI
2201,01.03.071_ANTONIO JOSE DA SILVA,01.03.071,146,ANTONIO JOSE DA SILVA
2199,01.03.071_DEPUTADO HEITOR ALENCAR FURTADO,01.03.071,6713,DEPUTADO HEITOR ALENCAR FURTADO
2195,01.03.071_INDUSTRIAL ALBINO FERRACINI,01.03.071,168,INDUSTRIAL ALBINO FERRACINI
2691,01.03.071_MILJUTIN KOGEJ,01.03.071,131,MILJUTIN KOGEJ
720,01.03.072_DEPUTADO HEITOR ALENCAR FURTADO,01.03.072,6713,DEPUTADO HEITOR ALENCAR FURTADO
717,01.03.073_ANTONIO JOSE DA SILVA,01.03.073,146,ANTONIO JOSE DA SILVA
718,01.03.073_DEPUTADO HEITOR ALENCAR FURTADO,01.03.073,6713,DEPUTADO HEITOR ALENCAR FURTADO
10059,01.03.074_ALBINO SILVA,01.03.074,132,ALBINO SILVA
10085,01.03.074_ANTONIO JOSE DA SILVA,01.03.074,146,ANTONIO JOSE DA SILVA
10054,01.03.074_DEPUTADO HEITOR ALENCAR FURTADO,01.03.074,6713,DEPUTADO HEITOR ALENCAR FURTADO
10087,01.03.074_MARTIN LUTHER KING,01.03.074,170,MARTIN LUTHER KING
48664,01.03.075_ANTONIO JOSE DA SILVA,01.03.075,146,ANTONIO JOSE DA SILVA
11268,01.03.075_DEPUTADO HEITOR ALENCAR FURTADO,01.03.075,6713,DEPUTADO HEITOR ALENCAR FURTADO
10063,01.03.075_MARTIN LUTHER KING,01.03.075,170,MARTIN LUTHER KING
22834,01.03.075_VOLUNTARIO HERMENEGILDO DE SOUZA MEDEIROS,01.03.075,329,VOLUNTARIO HERMENEGILDO DE SOUZA MEDEIROS
22824,01.03.076_ANTONIO JOSE DA SILVA,01.03.076,146,ANTONIO JOSE DA SILVA
11220,01.03.076_DEPUTADO HEITOR ALENCAR FURTADO,01.03.076,6713,DEPUTADO HEITOR ALENCAR FURTADO
11219,01.03.076_JOAO PAULO DA COSTA VELHO,01.03.076,195,JOAO PAULO DA COSTA VELHO
36907,01.03.076_VOLUNTARIO HERMENEGILDO DE SOUZA MEDEIROS,01.03.076,329,VOLUNTARIO HERMENEGILDO DE SOUZA MEDEIROS
22814,01.03.077_ALTINO ALONSO,01.03.077,331,ALTINO ALONSO
22817,01.03.077_ANTONIO JOSE DA SILVA,01.03.077,146,ANTONIO JOSE DA SILVA
22822,01.03.077_DEPUTADO HEITOR ALENCAR FURTADO,01.03.077,6713,DEPUTADO HEITOR ALENCAR FURTADO
22818,01.03.077_JOAO PAULO DA COSTA VELHO,01.03.077,195,JOAO PAULO DA COSTA VELHO
21568,01.03.078_ALTINO ALONSO,01.03.078,331,ALTINO ALONSO
11241,01.03.078_ANTONIO JOSE DA SILVA,01.03.078,146,ANTONIO JOSE DA SILVA
19555,01.03.078_DEPUTADO HEITOR ALENCAR FURTADO,01.03.078,6713,DEPUTADO HEITOR ALENCAR FURTADO
21567,01.03.078_HAYATO NAKAMURA,01.03.078,172,HAYATO NAKAMURA
13583,01.03.079_ANTONIO JOSE DA SILVA,01.03.079,146,ANTONIO JOSE DA SILVA
3795,01.03.079_DEPUTADO HEITOR ALENCAR FURTADO,01.03.079,6713,DEPUTADO HEITOR ALENCAR FURTADO
39425,01.03.079_HAYATO NAKAMURA,01.03.079,172,HAYATO NAKAMURA
13590,01.03.079_LUIZ SPIGOLON,01.03.079,118,LUIZ SPIGOLON
18335,01.03.080_ANTONIO JOSE DA SILVA,01.03.080,146,ANTONIO JOSE DA SILVA
31720,01.03.080_DEPUTADO HEITOR ALENCAR FURTADO,01.03.080,6713,DEPUTADO HEITOR ALENCAR FURTADO
14882,01.03.080_LUIZ SPIGOLON,01.03.080,118,LUIZ SPIGOLON
18404,01.03.080_TROPHINO ALVES BUDAL,01.03.080,173,TROPHINO ALVES BUDAL
6015,01.03.081_ANTONIO JOSE DA SILVA,01.03.081,146,ANTONIO JOSE DA SILVA
19727,01.03.081_DEPUTADO HEITOR ALENCAR FURTADO,01.03.081,6713,DEPUTADO HEITOR ALENCAR FURTADO
21529,01.03.081_PAULO ANTONIO DA COSTA,01.03.081,174,PAULO ANTONIO DA COSTA
19731,01.03.082_ANTONIO JOSE DA SILVA,01.03.082,146,ANTONIO JOSE DA SILVA
40686,01.03.082_DEPUTADO HEITOR ALENCAR FURTADO,01.03.082,6713,DEPUTADO HEITOR ALENCAR FURTADO
19003,01.03.082_JOSE DANTAS DE LIMA,01.03.082,175,JOSE DANTAS DE LIMA
6061,01.03.083_DEPUTADO HEITOR ALENCAR FURTADO,01.03.083,6713,DEPUTADO HEITOR ALENCAR FURTADO
14692,01.03.083_JOSE DANTAS DE LIMA,01.03.083,175,JOSE DANTAS DE LIMA
14694,01.03.084_JOSE PORTO,01.03.084,430,JOSE PORTO
14878,01.03.085_ANTONIO JOSE DA SILVA,01.03.085,146,ANTONIO JOSE DA SILVA
29731,01.03.085_DO AEROPORTO,01.03.085,203,DO AEROPORTO
44232,01.03.085_JOAQUIM CASTELLA,01.03.085,251,JOAQUIM CASTELLA
21508,01.03.086_ANTONIO JOSE DA SILVA,01.03.086,146,ANTONIO JOSE DA SILVA
4915,01.03.086_BARTOLOMEU PERES,01.03.086,252,BARTOLOMEU PERES
14674,01.03.086_HEIHACHIRO NIEKAWA,01.03.086,147,HEIHACHIRO NIEKAWA
18251,01.03.086_JOAQUIM CASTELLA,01.03.086,251,JOAQUIM CASTELLA
14687,01.03.087_ANTONIO JOSE DA SILVA,01.03.087,146,ANTONIO JOSE DA SILVA
4075,01.03.087_BARTOLOMEU PERES,01.03.087,252,BARTOLOMEU PERES
21625,01.03.087_HEIHACHIRO NIEKAWA,01.03.087,147,HEIHACHIRO NIEKAWA
14659,01.03.087_JOSE DANTAS DE LIMA,01.03.087,175,JOSE DANTAS DE LIMA
20308,01.03.088_ANTONIO JOSE DA SILVA,01.03.088,146,ANTONIO JOSE DA SILVA
5048,01.03.088_HEIHACHIRO NIEKAWA,01.03.088,147,HEIHACHIRO NIEKAWA
6014,01.03.088_JOSE DANTAS DE LIMA,01.03.088,175,JOSE DANTAS DE LIMA
4904,01.03.088_PAULO ANTONIO DA COSTA,01.03.088,174,PAULO ANTONIO DA COSTA
4886,01.03.089_ANTONIO JOSE DA SILVA,01.03.089,146,ANTONIO JOSE DA SILVA
15788,01.03.089_HEIHACHIRO NIEKAWA,01.03.089,147,HEIHACHIRO NIEKAWA
4040,01.03.089_PAULO ANTONIO DA COSTA,01.03.089,174,PAULO ANTONIO DA COSTA
41825,01.03.089_TROPHINO ALVES BUDAL,01.03.089,173,TROPHINO ALVES BUDAL
10136,01.03.090_ANTONIO JOSE DA SILVA,01.03.090,146,ANTONIO JOSE DA SILVA
6364,01.03.090_HEIHACHIRO NIEKAWA,01.03.090,147,HEIHACHIRO NIEKAWA
6365,01.03.090_LUIZ SPIGOLON,01.03.090,118,LUIZ SPIGOLON
15736,01.03.090_TROPHINO ALVES BUDAL,01.03.090,173,TROPHINO ALVES BUDAL
788,01.03.091_ANTONIO JOSE DA SILVA,01.03.091,146,ANTONIO JOSE DA SILVA
8539,01.03.091_HAYATO NAKAMURA,01.03.091,172,HAYATO NAKAMURA
8540,01.03.091_HEIHACHIRO NIEKAWA,01.03.091,147,HEIHACHIRO NIEKAWA
19616,01.03.091_LUIZ SPIGOLON,01.03.091,118,LUIZ SPIGOLON
3578,01.03.093_ANTONIO JOSE DA SILVA,01.03.093,146,ANTONIO JOSE DA SILVA
13946,01.03.093_HEIHACHIRO NIEKAWA,01.03.093,147,HEIHACHIRO NIEKAWA
10105,01.03.093_MARTIN LUTHER KING,01.03.093,170,MARTIN LUTHER KING
13944,01.03.093_OTACILIO EGGER,01.03.093,171,OTACILIO EGGER
19912,01.03.094_ALBINO SILVA,01.03.094,132,ALBINO SILVA
10103,01.03.094_ANTONIO JOSE DA SILVA,01.03.094,146,ANTONIO JOSE DA SILVA
10070,01.03.094_HEIHACHIRO NIEKAWA,01.03.094,147,HEIHACHIRO NIEKAWA
35696,01.03.094_MARTIN LUTHER KING,01.03.094,170,MARTIN LUTHER KING
23532,01.03.095_ALBINO SILVA,01.03.095,132,ALBINO SILVA
111,01.03.095_ANTONIO JOSE DA SILVA,01.03.095,146,ANTONIO JOSE DA SILVA
49561,01.03.095_IPIRANGA,01.03.095,169,IPIRANGA
2107,01.03.096_ADÃO FERREIRA DE ALMEIDA,01.03.096,938,ADÃO FERREIRA DE ALMEIDA
14814,01.03.096_ANTONIO JOSE DA SILVA,01.03.096,146,ANTONIO JOSE DA SILVA
34914,01.03.096_FRANCISCO ALVES DO NASCIMENTO,01.03.096,148,FRANCISCO ALVES DO NASCIMENTO
10844,01.03.096_IPIRANGA,01.03.096,169,IPIRANGA
13908,01.03.096_MILJUTIN KOGEJ,01.03.096,131,MILJUTIN KOGEJ
12980,01.03.097_ANTONIO JOSE DA SILVA,01.03.097,146,ANTONIO JOSE DA SILVA
12976,01.03.097_HEIHACHIRO NIEKAWA,01.03.097,147,HEIHACHIRO NIEKAWA
2193,01.03.097_INDUSTRIAL ALBINO FERRACINI,01.03.097,168,INDUSTRIAL ALBINO FERRACINI
13866,01.03.097_MILJUTIN KOGEJ,01.03.097,131,MILJUTIN KOGEJ
4440,01.03.098_ANTONIO JOSE DA SILVA,01.03.098,146,ANTONIO JOSE DA SILVA
17943,01.03.098_DR JOSE DE MATTOS FILHO,01.03.098,167,DR JOSE DE MATTOS FILHO
17924,01.03.098_HEIHACHIRO NIEKAWA,01.03.098,147,HEIHACHIRO NIEKAWA
4444,01.03.098_INDUSTRIAL ALBINO FERRACINI,01.03.098,168,INDUSTRIAL ALBINO FERRACINI
16987,01.03.099_AMAZONAS,01.03.099,105,AMAZONAS
16973,01.03.099_ANTONIO JOSE DA SILVA,01.03.099,146,ANTONIO JOSE DA SILVA
20896,01.03.099_DR JOSE DE MATTOS FILHO,01.03.099,167,DR JOSE DE MATTOS FILHO
16984,01.03.099_HEIHACHIRO NIEKAWA,01.03.099,147,HEIHACHIRO NIEKAWA
4650,01.03.100_AMAZONAS,01.03.100,105,AMAZONAS
6292,01.03.100_ANTONIO JOSE DA SILVA,01.03.100,146,ANTONIO JOSE DA SILVA
32012,01.03.100_HEIHACHIRO NIEKAWA,01.03.100,147,HEIHACHIRO NIEKAWA
4657,01.03.100_HUMBERTO DE CAMPOS,01.03.100,126,HUMBERTO DE CAMPOS
4645,01.03.101_ANTONIO JOSE DA SILVA,01.03.101,146,ANTONIO JOSE DA SILVA
20274,01.03.101_CATULO DA PAIXAO,01.03.101,125,CATULO DA PAIXAO
4644,01.03.101_HEIHACHIRO NIEKAWA,01.03.101,147,HEIHACHIRO NIEKAWA
4635,01.03.101_HUMBERTO DE CAMPOS,01.03.101,126,HUMBERTO DE CAMPOS
12000,01.03.102_ANTONIO JOSE DA SILVA,01.03.102,146,ANTONIO JOSE DA SILVA
10250,01.03.102_CATULO DA PAIXAO,01.03.102,125,CATULO DA PAIXAO
10222,01.03.102_HEIHACHIRO NIEKAWA,01.03.102,147,HEIHACHIRO NIEKAWA
14310,01.03.102_ROTARY,01.03.102,124,ROTARY
10224,01.03.103_ANTONIO JOSE DA SILVA,01.03.103,146,ANTONIO JOSE DA SILVA
10265,01.03.103_CAPITAO TELMO RIBEIRO,01.03.103,59,CAPITAO TELMO RIBEIRO
35922,01.03.103_HEIHACHIRO NIEKAWA,01.03.103,147,HEIHACHIRO NIEKAWA
11963,01.03.103_ROTARY,01.03.103,124,ROTARY
10291,01.03.104_CAPITAO TELMO RIBEIRO,01.03.104,59,CAPITAO TELMO RIBEIRO
10266,01.03.104_CATULO DA PAIXAO,01.03.104,125,CATULO DA PAIXAO
23206,01.03.104_FRANCISCO ALVES DO NASCIMENTO,01.03.104,148,FRANCISCO ALVES DO NASCIMENTO
10248,01.03.104_HEIHACHIRO NIEKAWA,01.03.104,147,HEIHACHIRO NIEKAWA
6255,01.03.105_CATULO DA PAIXAO,01.03.105,125,CATULO DA PAIXAO
6690,01.03.105_FRANCISCO ALVES DO NASCIMENTO,01.03.105,148,FRANCISCO ALVES DO NASCIMENTO
4633,01.03.105_HEIHACHIRO NIEKAWA,01.03.105,147,HEIHACHIRO NIEKAWA
4594,01.03.105_HUMBERTO DE CAMPOS,01.03.105,126,HUMBERTO DE CAMPOS
6257,01.03.106_AMAZONAS,01.03.106,105,AMAZONAS
6262,01.03.106_FRANCISCO ALVES DO NASCIMENTO,01.03.106,148,FRANCISCO ALVES DO NASCIMENTO
4598,01.03.106_HEIHACHIRO NIEKAWA,01.03.106,147,HEIHACHIRO NIEKAWA
6249,01.03.106_HUMBERTO DE CAMPOS,01.03.106,126,HUMBERTO DE CAMPOS
25753,01.03.107_FLAUZINA DIAS VIEGAS,01.03.107,188,FLAUZINA DIAS VIEGAS
25610,01.03.107_PIONEIRA MARIA ROSA TEIXEIRA DE SOUZA,01.03.107,313,PIONEIRA MARIA ROSA TEIXEIRA DE SOUZA
5411,01.03.107_PIONEIRO TONHAO,01.03.107,194,PIONEIRO TONHAO
2487,01.03.108_DR JOSE DE MATTOS FILHO,01.03.108,167,DR JOSE DE MATTOS FILHO
2495,01.03.108_FRANCISCO ALVES DO NASCIMENTO,01.03.108,148,FRANCISCO ALVES DO NASCIMENTO
2490,01.03.108_HEIHACHIRO NIEKAWA,01.03.108,147,HEIHACHIRO NIEKAWA
2493,01.03.108_INDUSTRIAL ALBINO FERRACINI,01.03.108,168,INDUSTRIAL ALBINO FERRACINI
2194,01.03.109_FRANCISCO ALVES DO NASCIMENTO,01.03.109,148,FRANCISCO ALVES DO NASCIMENTO
13886,01.03.109_HEIHACHIRO NIEKAWA,01.03.109,147,HEIHACHIRO NIEKAWA
12978,01.03.109_INDUSTRIAL ALBINO FERRACINI,01.03.109,168,INDUSTRIAL ALBINO FERRACINI
15518,01.03.109_MILJUTIN KOGEJ,01.03.109,131,MILJUTIN KOGEJ
83,01.03.110_FLAUZINA DIAS VIEGAS,01.03.110,188,FLAUZINA DIAS VIEGAS
969,01.03.110_PIONEIRA MARIA ROSA TEIXEIRA DE SOUZA,01.03.110,313,PIONEIRA MARIA ROSA TEIXEIRA DE SOUZA
961,01.03.110_PIONEIRO TONHAO,01.03.110,194,PIONEIRO TONHAO
5422,01.03.111_NELSON ERNESTO BUCHNER,01.03.111,187,NELSON ERNESTO BUCHNER
8994,01.03.111_OLINDINA DA SILVA,01.03.111,60,OLINDINA DA SILVA
31104,01.03.111_PIONEIRA MARIA ROSA TEIXEIRA DE SOUZA,01.03.111,313,PIONEIRA MARIA ROSA TEIXEIRA DE SOUZA
6945,01.03.111_ROSIL LANGUER ROLIN,01.03.111,312,ROSIL LANGUER ROLIN
10097,01.03.112_ALBINO SILVA,01.03.112,132,ALBINO SILVA
10098,01.03.112_FRANCISCO ALVES DO NASCIMENTO,01.03.112,148,FRANCISCO ALVES DO NASCIMENTO
10071,01.03.112_HEIHACHIRO NIEKAWA,01.03.112,147,HEIHACHIRO NIEKAWA
19916,01.03.112_MARTIN LUTHER KING,01.03.112,170,MARTIN LUTHER KING
13048,01.03.113_FRANCISCO ALVES DO NASCIMENTO,01.03.113,148,FRANCISCO ALVES DO NASCIMENTO
13947,01.03.113_HEIHACHIRO NIEKAWA,01.03.113,147,HEIHACHIRO NIEKAWA
10149,01.03.113_MARTIN LUTHER KING,01.03.113,170,MARTIN LUTHER KING
17748,01.03.113_OTACILIO EGGER,01.03.113,171,OTACILIO EGGER
708,01.03.114_OLINDINA DA SILVA,01.03.114,60,OLINDINA DA SILVA
191,01.03.114_ROSIL LANGUER ROLIN,01.03.114,312,ROSIL LANGUER ROLIN
7017,01.03.114_SEM DENOMINAÇÃO - CHACARA SAO JORGE,01.03.114,1046,SEM DENOMINAÇÃO - CHACARA SAO JORGE
1227,01.03.114_VISTA ALEGRE,01.03.114,54,VISTA ALEGRE
13592,01.03.115_FRANCISCO ALVES DO NASCIMENTO,01.03.115,148,FRANCISCO ALVES DO NASCIMENTO
13587,01.03.115_HAYATO NAKAMURA,01.03.115,172,HAYATO NAKAMURA
5296,01.03.115_HEIHACHIRO NIEKAWA,01.03.115,147,HEIHACHIRO NIEKAWA
5273,01.03.115_LUIZ SPIGOLON,01.03.115,118,LUIZ SPIGOLON
15186,01.03.116_FRANCISCO ALVES DO NASCIMENTO,01.03.116,148,FRANCISCO ALVES DO NASCIMENTO
792,01.03.116_HEIHACHIRO NIEKAWA,01.03.116,147,HEIHACHIRO NIEKAWA
15553,01.03.116_LUIZ SPIGOLON,01.03.116,118,LUIZ SPIGOLON
15523,01.03.116_TROPHINO ALVES BUDAL,01.03.116,173,TROPHINO ALVES BUDAL
15820,01.03.117_FRANCISCO ALVES DO NASCIMENTO,01.03.117,148,FRANCISCO ALVES DO NASCIMENTO
15192,01.03.117_HEIHACHIRO NIEKAWA,01.03.117,147,HEIHACHIRO NIEKAWA
41883,01.03.117_PAULO ANTONIO DA COSTA,01.03.117,174,PAULO ANTONIO DA COSTA
41862,01.03.117_TROPHINO ALVES BUDAL,01.03.117,173,TROPHINO ALVES BUDAL
16427,01.03.118_FRANCISCO ALVES DO NASCIMENTO,01.03.118,148,FRANCISCO ALVES DO NASCIMENTO
