CODIGO_CARTOGRAFICO,CI_ID_FACE,OSM_VERTICE_1,OSM_VERTICE_2,SC_ID_LOGRADOURO,CENTROIDE,ORDEM_FACE,DIM_FACE
01.03.001.2.0048,4104501;01.03.001.2.0048;1558A9D1,"POINT(-53.7997672 -25.6714752)","POINT(-53.7994051 -25.6702495)",1558A9D1,"POINT(-53.799683 -25.670893)",4,120.33
01.03.001.0.0046,4104501;01.03.001.0.0046;0C5BD29F,"POINT(-53.8023198 -25.6694972)","POINT(-53.8036948 -25.6691607)",0C5BD29F,"POINT(-53.803164 -25.669411)",3,119.77
01.03.001.0.0046,4104501;01.03.001.0.0046;E544EA7B,"POINT(-53.8040936 -25.6703757)","POINT(-53.8036948 -25.6691607)",E544EA7B,"POINT(-53.80379057142857 -25.669836857142858)",2,120.33
01.03.001.0.0046,4104501;01.03.001.0.0046;08C99AE1,"POINT(-53.8027037 -25.6707312)","POINT(-53.8040936 -25.6703757)",08C99AE1,"POINT(-53.803366714285715 -25.67050042857143)",1,119.77
01.03.001.0.0046,4104501;01.03.001.0.0046;736565AB,"POINT(-53.8027037 -25.6707312)","POINT(-53.8023198 -25.6694972)",736565AB,"POINT(-53.802586857142856 -25.670042)",4,120.33
01.06.002.3.0029,4104501;01.06.002.3.0029;4A6E811F,"POINT(-53.7943823 -25.6778049)","POINT(-53.7954791 -25.6775208)",4A6E811F,"POINT(-53.79490966666667 -25.677659666666667)",3,99.81
01.06.002.3.0029,4104501;01.06.002.3.0029;8BF75653,"POINT(-53.795852 -25.6786936)","POINT(-53.7954791 -25.6775208)",8BF75653,"POINT(-53.79555713142857 -25.678020785714285)",2,120.33
01.06.002.3.0029,4104501;01.06.002.3.0029;6B8E7F2D,"POINT(-53.7952748 -25.6788453)","POINT(-53.7947266 -25.6789894)",6B8E7F2D,"POINT(-53.795213 -25.67883)",1,99.81
01.06.002.3.0029,4104501;01.06.002.3.0029;F1BF0D5A,"POINT(-53.7945369 -25.6784377)","POINT(-53.7947266 -25.6789894)",F1BF0D5A,"POINT(-53.7946074 -25.678249)",4,120.33
01.02.004.1.0030,4104501;01.02.004.1.0030;B6AB9351,"POINT(-53.8085151 -25.6612336)","POINT(-53.8089363 -25.6626106)",B6AB9351,"POINT(-53.80801 -25.659008)",4,140.39
