CODIGO,FACE,QLAT,QLNG,V1LAT,V1LNG,D1,V2LAT,V2LNG,D2
01.02.001.0.0020,4104501;01.02.001.0.0020;C7998C13,-25.66593825,-53.80642625,-25.6656938,-53.8070668,0.0006856092947153579,-25.6660318,-53.8057043,0.0007279858549439602
01.02.001.0.0020,4104501;01.02.001.0.0020;7473D9A5,-25.666485,-53.8059345,-25.6660318,-53.8057043,0.00050831317118589,-25.6672667,-53.8060932,0.0007976469018281356
01.02.001.0.0020,4104501;01.02.001.0.0020;6741EDC0,-25.667039,-53.806639,-25.6672667,-53.8060932,0.0005913923655216998,-25.6669298,-53.8074566,0.0008248602305894602
01.02.001.0.0020,4104501;01.02.001.0.0020;4245F20E,-25.66633,-53.8071634,-25.6656938,-53.8070668,0.0006434920356914957,-25.6669298,-53.8074566,0.0006676273511478452
01.02.001.0.0018,4104501;01.02.001.0.0018;C7998C13,-25.665827,-53.806233,-25.6660318,-53.8057043,0.0005669803612084208,-25.6656938,-53.8070668,0.0008443723586214875
01.02.001.0.0018,4104501;01.02.001.0.0018;4245F20E,-25.6651168,-53.8067838,-25.6645022,-53.8066739,0.0006243485965372202,-25.6656938,-53.8070668,0.000642664764867018
01.02.001.0.0018,4104501;01.02.001.0.0018;C44485D3,-25.664757375,-53.80587975,-25.6648265,-53.8053719,0.0005125328166374596,-25.6645022,-53.8066739,0.0008341393787134213
01.02.001.0.0018,4104501;01.02.001.0.0018;7473D9A5,-25.665483333333334,-53.805632333333335,-25.6660318,-53.8057043,0.0005531680445880426,-25.6648265,-53.8053719,0.000706580178672137
