CODIGO_CARTOGRAFICO,FACE,DIMENSAO,AZIMUTE,LAT,LNG,SC_ID_LOGRADOURO,NOM_LOGRADOURO
01.04.004.1.0017,1,119.77,285.48,-25.65732068158843,-53.80656848669085,EF2B51D7,"RUA PARA"
01.04.004.1.0017,2,140.39,195.32,-25.657785785572287,-53.80732928756405,B6AB9351,"RUA TUPINAMBAS"
01.04.004.1.0017,3,119.77,105.48,-25.65853834446812,-53.80693851044367,5C81EDF2,"RUA MARANHAO"
01.04.004.1.0017,4,140.39,15.32,-25.658073240484264,-53.80617770957047,083D97F0,"AVENIDA INDEPENDENCIA"
