CODIGO,FACE,QLAT,QLNG,V1LAT,V1LNG,D1,V2LAT,V2LNG,D2
01.02.004.1.0030,4104501;01.02.004.1.0030;B6AB9351,-25.661946885760443,-53.808601992229065,-25.6612336,-53.8085151,0.0007185588601664581,-25.6626106,-53.8089363,0.0007431542757050761
01.02.004.1.0030,4104501;01.02.004.1.0030;1C2CD413,-25.661384975594956,-53.808229011254944,-25.6613706,-53.8079967,0.00023275561627085248,-25.6612336,-53.8085151,0.00032366856627819495
01.02.004.1.0030,4104501;01.02.004.1.0030;AE42A7F8,-25.66213753799412,-53.80783823156245,-25.6625863,-53.8075033,0.0005599700790639934,-25.6626656,-53.8076261,0.0005690775710232443
01.02.004.1.0030,4104501;01.02.004.1.0030;90AD120A,-25.662699448159607,-53.80821121253657,-25.6629456,-53.807611,0.0006487263040626261,-25.6626106,-53.8089363,0.0007305106604889737
