CODIGO_CARTOGRAFICO;WKT_GEOM;TIMESTAMP
01.02.001.0.0020;POLYGON((-53.80700135405188 -25.66581548828715, -53.80584085732782 -25.666103376648785, -53.80615909594814 -25.667145561712843, -53.807319592672194 -25.666857673351206, -53.80700135405188 -25.66581548828715));20260221_090023
01.02.001.0.0018;POLYGON((-53.8066245870344 -25.66459814630901, -53.805464432555404 -25.664887115661955, -53.8057838629656 -25.665929003690987, -53.80694401744459 -25.665640034338043, -53.8066245870344 -25.66459814630901));20260221_090023
