CODIGO_CARTOGRAFICO,FACE,DIMENSAO,AZIMUTE,LAT,LNG,SC_ID_LOGRADOURO,NOM_LOGRADOURO
01.01.004.0.0043,1,119.77,285.48,-25.665317600982924,-53.80900488726637,C7998C13,"RUA PERNAMBUCO"
01.01.004.0.0043,2,120.33,195.32,-25.66569571184111,-53.80973931533663,B6AB9351,"RUA TUPINAMBAS"
01.01.004.0.0043,3,119.77,105.48,-25.666361302269763,-53.80932209895849,6741EDC0,"RUA ALAGOAS"
01.01.004.0.0043,4,120.33,15.32,-25.665983191411577,-53.80858767088823,083D97F0,"AVENIDA INDEPENDENCIA"
01.01.004.0.0047,1,119.77,285.48,-25.667749791495837,-53.80974600710908,0C5BD29F,"RUA ANTONIO NIEHEUS"
01.01.004.0.0047,2,120.33,195.32,-25.668127897061567,-53.81048045285419,B6AB9351,"RUA TUPINAMBAS"
01.01.004.0.0047,3,119.77,105.48,-25.66879348978258,-53.81006323371216,A8B4E8F4,"RUA MARTINS NOTTAR"
01.01.004.0.0047,4,120.33,15.32,-25.66841538421685,-53.80932878796704,083D97F0,"AVENIDA INDEPENDENCIA"
01.03.001.2.0048,1,139.73,285.48,-25.67016206088527,-53.800145023745706,0C5BD29F,"RUA ANTONIO NIEHEUS"
01.03.001.2.0048,2,120.33,195.32,-25.670516264795197,-53.80097543617783,2C686C6D,"AVENIDA BOTUCARIS"
01.03.001.2.0048,3,139.73,105.48,-25.671205786237476,-53.800462177247255,08C99AE1,"RUA BAHIA"
01.03.001.2.0048,4,120.33,15.32,-25.67085158232755,-53.79963176481513,1558A9D1,"AVENIDA UBIRAJARAS"
01.03.002.3.0084,1,99.81,285.48,-25.683149237392538,-53.80134609521431,02443DBB,"AVENIDA RIO GRANDE DO SUL"
01.03.002.3.0084,2,200.55,195.32,-25.683899236772543,-53.80209037142366,F0D334EC,"RUA CARAMURUS"
01.03.002.3.0084,3,99.81,105.48,-25.684888765607177,-53.801874781549806,C85CFF69,"RUA FERNANDO NORONHA"
01.03.002.3.0084,4,200.55,15.32,-25.68413876622717,-53.80113050534045,27AE0E78,"RUA LEOPOLDO SCHMIDT"
01.03.002.4.0050,1,129.75,285.48,-25.678825944977742,-53.80739284416616,9003F37C,"AVENIDA PARANA"
01.03.002.4.0050,2,110.30,195.32,-25.679148591153982,-53.80816212704886,475A4CBA,"RUA AIMORES"
01.03.002.4.0050,3,129.75,105.48,-25.67978267120034,-53.80768365258019,F54DE0AF,"RUA SANTA CATARINA"
01.03.002.4.0050,4,110.30,15.32,-25.6794600250241,-53.80691436969749,E544EA7B,"RUA OTAVIO FRANCISCO DE MATTOS"
01.04.001.0.0036,1,139.73,285.48,-25.66650940060148,-53.79902037691621,C44485D3,"RUA PARAIBA"
01.04.001.0.0036,2,120.33,195.32,-25.66686361346996,-53.79985076021785,2C686C6D,"AVENIDA BOTUCARIS"
01.04.001.0.0036,3,139.73,105.48,-25.667553130487107,-53.799337507936656,C7998C13,"RUA PERNAMBUCO"
01.04.001.0.0036,4,120.33,15.32,-25.667198917618627,-53.79850712463502,1558A9D1,"AVENIDA UBIRAJARAS"
01.04.001.1.0116,1,38.43,285.48,-25.653919027804562,-53.79994794101337,5A5B8F0F,"RUA JOAO FRANCISCO TOSCAN"
01.04.001.1.0116,2,100.28,195.32,-25.6543078121262,-53.800264793812005,2A0F502E,"RUA DORVAL BENATTI"
01.04.001.1.0116,3,38.43,105.48,-25.65478880419245,-53.800212185898445,22C42DE6,"RUA ALVERINO BENATTI"
01.04.001.1.0116,4,100.28,15.32,-25.654400019870813,-53.79989533309981,8C38F4BF,"RUA DAS PEROBAS"
01.04.002.12.0284,1,42.42,285.47,-25.679111238673975,-53.789442031126164,4A6E811F,"RUA MATO GROSSO"
01.04.002.12.0284,2,120.33,195.31,-25.6795822315026,-53.78980454952111,E7CB32DA,"RUA PACURI"
01.04.002.12.0284,3,42.42,105.47,-25.680154991762286,-53.7897591262096,6B8E7F2D,"RUA MINAS GERAIS"
01.04.002.12.0284,4,120.33,15.31,-25.679683998933662,-53.78939660781466,349B5C32,"RUA ANAJE"
01.04.002.12.0285,1,42.42,285.47,-25.67896158126574,-53.790041942522464,4A6E811F,"RUA MATO GROSSO"
01.04.002.12.0285,2,120.33,195.31,-25.679432573275278,-53.79040446233398,5CCA62A7,"RUA ARARUNA"
01.04.002.12.0285,3,42.42,105.47,-25.68000533291179,-53.790359041191344,6B8E7F2D,"RUA MINAS GERAIS"
01.04.002.12.0285,4,120.33,15.31,-25.679534340902247,-53.78999652137983,E7CB32DA,"RUA PACURI"
01.04.002.12.0381,1,49.90,285.35,-25.685001651994064,-53.78763897542295,F54DE0AF,"RUA SANTA CATARINA"
01.04.002.12.0381,2,108.31,195.19,-25.68541228084201,-53.78802070866172,E29DE961,"RUA CONCORDIA"
