CODIGO_CARTOGRAFICO,FACE,DIMENSAO,AZIMUTE,LAT,LNG,SC_ID_LOGRADOURO,NOM_LOGRADOURO
01.04.002.12.0381,3,50.40,113.22,-25.68597164150378,-53.78793122434632,02443DBB,"AVENIDA RIO GRANDE DO SUL"
01.04.002.12.0381,4,115.21,15.19,-25.68556101265584,-53.78754949110754,DFFFFDA3,"RUA CLARINDA MAGRO"
01.04.004.0.0036,1,119.77,285.48,-25.663428688068137,-53.81130654354788,C44485D3,"RUA PARAIBA"
01.04.004.0.0036,2,120.33,195.32,-25.663806787770607,-53.812040965506554,0E9A43FC,"RUA TAPAJOS"
01.04.004.0.0036,3,119.77,105.48,-25.664472383319232,-53.81162376811899,C7998C13,"RUA PERNAMBUCO"
01.04.004.0.0036,4,120.33,15.32,-25.664094283616762,-53.81088934616031,E12A8086,"RUA GUAIRACAS"
01.05.004.1.0019,1,119.77,285.48,-25.65804105211099,-53.8096683362085,5C81EDF2,"RUA MARANHAO"
01.05.004.1.0019,2,140.39,195.32,-25.6585061384776,-53.81042915234269,0E9A43FC,"RUA TAPAJOS"
01.05.004.1.0019,3,119.77,105.48,-25.659258704187394,-53.8100383936695,3020980C,"RUA PIAUI"
01.05.004.1.0019,4,140.39,15.32,-25.658793617820784,-53.809277577535305,E12A8086,"RUA GUAIRACAS"
01.06.004.1.0002,1,119.77,285.33,-25.653202738525145,-53.8110906251779,BA0CEFE3,"RUA TERRITORIO DO ACRE"
01.06.004.1.0002,2,140.39,195.17,-25.65366966591375,-53.81185003569268,478B279C,"RUA TUPI"
01.06.004.1.0002,3,119.77,105.33,-25.65442128211744,-53.81145707551037,35D01E89,"RUA DIONISIO WONS"
01.06.004.1.0002,4,140.39,15.17,-25.653954354728832,-53.81069766499559,7CE46E23,"RUA GUARANIS"
01.06.004.1.0008,1,119.77,285.48,-25.654585955738025,-53.811499115185605,35D01E89,"RUA DIONISIO WONS"
01.06.004.1.0008,2,140.39,195.32,-25.655051033982687,-53.81225991412869,478B279C,"RUA TUPI"
01.06.004.1.0008,3,119.77,105.48,-25.655803603006195,-53.81186917653096,EF2B51D7,"RUA PARA"
01.06.004.1.0008,4,140.39,15.32,-25.655338524761532,-53.81110837758787,7CE46E23,"RUA GUARANIS"
01.06.004.1.0013,1,119.77,285.48,-25.655975657860232,-53.81192320527459,EF2B51D7,"RUA PARA"
01.06.004.1.0013,2,140.38,195.32,-25.656440732934684,-53.812684015023066,478B279C,"RUA TUPI"
01.06.004.1.0013,3,119.77,105.48,-25.657193303126213,-53.81229327656254,5C81EDF2,"RUA MARANHAO"
01.06.004.1.0013,4,140.39,15.32,-25.656728228051765,-53.81153246681407,7CE46E23,"RUA GUARANIS"
