SC_ID_LOGRADOURO,NOM_LOGRADOURO,OSM_NOM_LOGRADOURO
9E705E10,"RUA OTAVIO KISCHNER",Rua Otavio Kischner  
9E705E10,"RUA OTAVIO KISCHNER",Rua Otavio Kisch  
9E705E10,"RUA OTAVIO KISCHNER",Rua Otavio 
9E705E10,"RUA OTAVIO KISCHNER",Rua Otávio 



