COD_MUNICIPIO,COD_UNICO_ENDERECO,ID_QUADRA,ID_FACE,NOM_LOGRADOURO,NUM_ENDERECO,LATITUDE,LONGITUDE
4104501,01.04.001.2.0108.1300,01.04.001.2.0108,ID_FACE,"RUA LOURO BRANCO",2033,FORA_DO_PERIMETRO,FORA_DO_PERIMETRO
4104501,01.04.001.2.0108.1400,01.04.001.2.0108,ID_FACE,"RUA LOURO BRANCO",2039,FORA_DO_PERIMETRO,FORA_DO_PERIMETRO
4104501,01.04.001.2.0108.1500,01.04.001.2.0108,ID_FACE,"RUA LOURO BRANCO",2055,FORA_DO_PERIMETRO,FORA_DO_PERIMETRO
4104501,01.04.001.2.0109.1000,01.04.001.2.0109,ID_FACE,"RUA LOURO BRANCO",2006,FORA_DO_PERIMETRO,FORA_DO_PERIMETRO
4104501,01.04.001.2.0109.0900,01.04.001.2.0109,ID_FACE,"RUA LOURO BRANCO",2020,FORA_DO_PERIMETRO,FORA_DO_PERIMETRO
4104501,01.04.001.2.0109.0800,01.04.001.2.0109,ID_FACE,"RUA LOURO BRANCO",2032,FORA_DO_PERIMETRO,FORA_DO_PERIMETRO
4104501,01.04.001.2.0109.0700,01.04.001.2.0109,ID_FACE,"RUA LOURO BRANCO",2040,FORA_DO_PERIMETRO,FORA_DO_PERIMETRO
4104501,01.04.001.2.0109.0600,01.04.001.2.0109,ID_FACE,"RUA LOURO BRANCO",2050,FORA_DO_PERIMETRO,FORA_DO_PERIMETRO
4104501,01.04.001.3.0121.0300,01.04.001.3.0121,ID_FACE,"RUA VILMAR BERFT",758,-25.6718724,-53.80777
4104501,01.04.001.3.0121.0200,01.04.001.3.0121,ID_FACE,"RUA VILMAR BERFT",772,-25.6718724,-53.80777
4104501,01.04.001.3.0121.0100,01.04.001.3.0121,ID_FACE,"RUA VILMAR BERFT",786,-25.6718724,-53.80777
4104501,01.04.001.3.0122.1000,01.04.001.3.0122,ID_FACE,"RUA VILMAR BERFT",636,-25.6718724,-53.80777
4104501,01.04.001.3.0122.1100,01.04.001.3.0122,ID_FACE,"RUA VILMAR BERFT",642,-25.6718724,-53.80777
4104501,01.04.001.3.0122.1200,01.04.001.3.0122,ID_FACE,"RUA VILMAR BERFT",654,-25.6718724,-53.80777
4104501,01.04.001.3.0122.1300,01.04.001.3.0122,ID_FACE,"RUA VILMAR BERFT",668,-25.6718724,-53.80777
4104501,01.04.001.3.0122.1400,01.04.001.3.0122,ID_FACE,"RUA VILMAR BERFT",680,-25.6718724,-53.80777
4104501,01.04.001.3.0123.0900,01.04.001.3.0123,ID_FACE,"RUA VILMAR BERFT",540,-25.6718724,-53.80777
4104501,01.04.001.3.0123.0800,01.04.001.3.0123,ID_FACE,"RUA VILMAR BERFT",552,-25.6718724,-53.80777
4104501,01.04.001.3.0123.0700,01.04.001.3.0123,ID_FACE,"RUA VILMAR BERFT",564,-25.6718724,-53.80777
4104501,01.04.001.3.0123.0600,01.04.001.3.0123,ID_FACE,"RUA VILMAR BERFT",578,-25.6718724,-53.80777
4104501,01.04.001.3.0123.0500,01.04.001.3.0123,ID_FACE,"RUA VILMAR BERFT",596,-25.6718724,-53.80777
4104501,01.04.002.3.0133.0300,01.04.002.3.0133,ID_FACE,"RUA VILMAR BERFT",757,-25.6718724,-53.80777
4104501,01.04.002.3.0133.0200,01.04.002.3.0133,ID_FACE,"RUA VILMAR BERFT",773,-25.6718724,-53.80777
4104501,01.04.002.3.0133.0100,01.04.002.3.0133,ID_FACE,"RUA VILMAR BERFT",785,-25.6718724,-53.80777
4104501,01.04.002.3.0134.0700,01.04.002.3.0134,ID_FACE,"RUA VILMAR BERFT",633,-25.6718724,-53.80777
4104501,01.04.002.3.0134.0600,01.04.002.3.0134,ID_FACE,"RUA VILMAR BERFT",647,-25.6718724,-53.80777
4104501,01.04.002.3.0134.0500,01.04.002.3.0134,ID_FACE,"RUA VILMAR BERFT",659,-25.6718724,-53.80777
4104501,01.04.002.3.0134.0400,01.04.002.3.0134,ID_FACE,"RUA VILMAR BERFT",671,-25.6718724,-53.80777
4104501,01.04.002.3.0134.0300,01.04.002.3.0134,ID_FACE,"RUA VILMAR BERFT",683,-25.6718724,-53.80777
4104501,01.04.002.3.0135.0700,01.04.002.3.0135,ID_FACE,"RUA VILMAR BERFT",507,-25.6718724,-53.80777
4104501,01.04.002.3.0135.0600,01.04.002.3.0135,ID_FACE,"RUA VILMAR BERFT",523,-25.6718724,-53.80777
4104501,01.04.002.3.0135.0500,01.04.002.3.0135,ID_FACE,"RUA VILMAR BERFT",535,-25.6718724,-53.80777
4104501,01.04.002.3.0135.0400,01.04.002.3.0135,ID_FACE,"RUA VILMAR BERFT",548,-25.6718724,-53.80777
4104501,01.04.002.3.0135.0300,01.04.002.3.0135,ID_FACE,"RUA VILMAR BERFT",561,-25.6718724,-53.80777
4104501,01.06.003.4.0015.0800,01.06.003.4.0015,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0015.1000,01.06.003.4.0015,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0015.1200,01.06.003.4.0015,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0015.0700,01.06.003.4.0015,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0015.1100,01.06.003.4.0015,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0016.0700,01.06.003.4.0016,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0016.0900,01.06.003.4.0016,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0016.0800,01.06.003.4.0016,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0016.0600,01.06.003.4.0016,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0016.1000,01.06.003.4.0016,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0017.0700,01.06.003.4.0017,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0017.0900,01.06.003.4.0017,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0017.0600,01.06.003.4.0017,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0017.1000,01.06.003.4.0017,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0017.0800,01.06.003.4.0017,ID_FACE,"RUA XINGU",,-25.6718724,-53.80777
4104501,01.06.003.4.0018.0400,01.06.003.4.0018,ID_FACE,"RUA XINGU",S/N,-25.6718724,-53.80777
4104501,01.06.003.4.0018.0700,01.06.003.4.0018,ID_FACE,"RUA XINGU",S/N,-25.6718724,-53.80777
4104501,01.06.003.4.0018.1500,01.06.003.4.0018,ID_FACE,"RUA XINGU",S/N,-25.6718724,-53.80777
4104501,01.06.003.4.0018.1800,01.06.003.4.0018,ID_FACE,"RUA XINGU",S/N,-25.6718724,-53.80777
4104501,01.06.003.4.0018.1100,01.06.003.4.0018,ID_FACE,"RUA XINGU",S/N,-25.6718724,-53.80777
