CODIGO_CARTOGRAFICO,FACE,DIMENSAO,AZIMUTE,LAT,LNG,SC_ID_LOGRADOURO,NOM_LOGRADOURO
01.04.001.2.0040,1,139.73,285.48,-25.667721146329338,-53.79940688072503,C7998C13,"RUA PERNAMBUCO"
01.04.001.2.0040,2,120.33,195.32,-25.668075356146367,-53.800237273721805,2C686C6D,"AVENIDA BOTUCARIS"
01.04.001.2.0040,3,139.73,105.48,-25.668764874672203,-53.79972401931685,6741EDC0,"RUA ALAGOAS"
01.04.001.2.0040,4,120.33,15.32,-25.668410664855173,-53.79889362632008,1558A9D1,"AVENIDA UBIRAJARAS"
01.02.001.0.0020,1,120.77,285.48,-25.665964644883903,-53.8064102093277,C7998C13,"RUA PERNAMBUCO"
01.02.001.0.0020,2,120.33,195.32,-25.66634157139697,-53.80714943328833,4245F20E,"RUA PADRE CIRILO"
01.02.001.0.0020,3,120.77,105.48,-25.667008353488413,-53.8067274012512,6741EDC0,"RUA ALAGOAS"
01.02.001.0.0020,4,120.33,15.32,-25.66663142697535,-53.80598817729057,7473D9A5,"RUA TAMOIOS"
01.02.001.0.0018,1,120.77,285.48,-25.664741583821723,-53.80603584036709,C44485D3,"RUA PARAIBA"
01.02.001.0.0018,2,120.33,195.32,-25.665118513020158,-53.80677505539324,4245F20E,"RUA PADRE CIRILO"
01.02.001.0.0018,3,120.77,105.48,-25.66578529393913,-53.806353024779824,C7998C13,"RUA PERNAMBUCO"
01.02.001.0.0018,4,120.33,15.32,-25.665408364740692,-53.80561380975368,7473D9A5,"RUA TAMOIOS"
